School.Name,School.Type,Region,Is.Party,STABBR,CONTROL,Tier,COSTT4_A,MN_EARN_WNE_P6,MD_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,SD_EARN_WNE_P6,MN_EARN_WNE_INC1_P6,MN_EARN_WNE_INC2_P6,MN_EARN_WNE_INC3_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MD_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,SD_EARN_WNE_P10,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,BE_MN_P6,BE_MD_P6,BE_MN_P10,BE_MD_P10,ROI_MN_P6,ROI_MD_P6,ROI_MN_P10,ROI_MD_P10
Carleton College,Liberal Arts,Midwestern,FALSE,MN,Private nonprofit,Other elite schools (public and private),60401,43400,39500,21100,58200,30200,NA,NA,47500,39600,46800,45800,67900,54200,35800,82800,58100,NA,NA,71000,57900,77300,1.1133824884792627,1.2233113924050634,0.7116465390279824,0.8915276752767527,-28.146884985347924,-34.60373172629592,12.415357361633085,-10.266386318107317
Gustavus Adolphus College,Liberal Arts,Midwestern,FALSE,MN,Private nonprofit,Highly selective private,50008,43400,41700,28700,53600,24400,34700,41100,45400,40600,46900,45400,58900,51700,37100,71400,41100,49300,57100,60700,53700,65600,0.9218064516129033,0.9593860911270984,0.6792258064516129,0.7738181818181818,-13.213885778275476,-16.61334186530155,17.78115501519757,3.3834586466165413
Saint Olaf College,Liberal Arts,Midwestern,FALSE,MN,Private nonprofit,Highly selective private,51860,41500,37700,24500,54400,25600,41000,41700,41500,37700,45600,44100,57300,50400,34700,72200,38600,47200,51000,61400,54200,61400,0.999710843373494,1.1004774535809019,0.7240488656195463,0.8231746031746031,-19.976860779020438,-27.304280755881216,10.489780177400695,-2.81527188584651
Mississippi State University,State,Southern,FALSE,MS,Public,Selective public,21581,37100,33400,21000,46600,32500,33600,37600,40300,31000,42700,36200,47400,40200,27600,59500,36400,42800,46900,52700,37700,56000,0.46535849056603773,0.5169101796407186,0.36423628691983123,0.42947263681592046,71.9104768083036,54.76576618321671,119.637644224086,86.2749640887818
University of Mississippi,State,Southern,TRUE,MS,Public,Selective public,22444,41300,35100,22600,51000,40000,40500,40300,42800,37800,46000,39700,56600,42700,28200,66400,64000,55800,56500,57400,49300,65800,0.4347506053268766,0.5115441595441595,0.3172296819787986,0.42049648711943793,84.01354482266976,56.38923543040456,152.18321154874354,90.25129210479416
Montana State University-Billings,State,Western,FALSE,MT,Public,Selective public,15893,34300,30400,18600,44700,24300,28700,36800,39800,30500,40100,33500,38700,34600,19400,52000,29100,34500,40700,44800,32500,48500,0.37068221574344024,0.41823684210526313,0.3285374677002584,0.3674682080924856,115.81828477946266,91.27917951299315,143.50342918265903,117.70590826149878
University of Nevada-Reno,State,Western,FALSE,NV,Public,Selective public,20675,41600,37700,23400,53900,32900,40100,42700,42200,38800,45200,42400,56300,47000,29000,70800,53900,55400,54600,59100,49400,65800,0.3975961538461539,0.43872679045092844,0.29378330373001776,0.35191489361702133,101.20918984280532,82.34582829504232,172.30955259975815,127.32769044740024
University of Nevada-Las Vegas,State,Western,FALSE,NV,Public,Selective public,17781,39300,36500,23200,51000,24600,37800,40500,39700,37900,41100,41100,49600,45000,28000,64800,33500,48100,49600,51900,46000,54400,0.3619541984732825,0.3897205479452055,0.28679032258064513,0.3161066666666667,121.02243968280749,105.27529385298915,178.94944041392498,153.07912940779485
Dartmouth College,Ivy League,Northeastern,FALSE,NH,Private nonprofit,Ivy Plus,63279,74600,58900,36000,91600,74900,70300,76300,75900,60300,86900,67400,110200,75500,49000,136800,116600,109000,109600,111100,91100,130600,0.6785951742627346,0.859477079796265,0.4593756805807623,0.6705059602649007,17.890611419270215,-6.9201472842491185,74.14940185527584,19.312884211191705
Princeton University,Ivy League,Northeastern,FALSE,NJ,Private nonprofit,Ivy Plus,57400,73600,60800,34600,94000,69600,71900,64800,86700,61100,83100,63400,116300,74700,52000,132100,131400,127400,110700,114700,87300,140600,0.6239130434782609,0.7552631578947369,0.3948409286328461,0.6147255689424365,28.222996515679444,5.923344947735192,102.61324041811845,30.139372822299652
Stevens Institute of Technology,Engineering,Northeastern,FALSE,NJ,Private nonprofit,Highly selective private,59384,67900,68600,50200,83400,32600,63200,67100,69300,66500,68400,76100,91900,89200,64100,109200,65500,90300,92700,91900,87100,93100,0.6996642120765832,0.692524781341108,0.5169445048966268,0.5325919282511211,14.340563114643675,15.519331806547218,54.75548969419373,50.208810453994346
New Mexico Institute of Mining and Technology,Engineering,Western,FALSE,NM,Public,Highly selective public,18762,49000,43500,23500,68400,34100,49900,44300,53100,39000,52000,52500,58500,50000,31300,76600,39300,57300,57800,60300,51700,60700,0.3063183673469388,0.345048275862069,0.256574358974359,0.300192,161.16618697367016,131.8516149664215,211.8004477134634,166.4961091568063
Colgate University,Liberal Arts,Northeastern,FALSE,NY,Private nonprofit,Other elite schools (public and private),60050,54300,47700,31600,68000,40000,NA,NA,56000,49800,59200,55800,81100,63600,41800,98100,76200,67300,71100,88700,75000,88200,0.8847145488029465,1.0071278825995806,0.5923551171393342,0.7553459119496856,-9.575353871773522,-20.566194837635305,35.0541215653622,5.911740216486262
Cornell University,Ivy League,Northeastern,FALSE,NY,Private nonprofit,Ivy Plus,61608,76300,64800,40700,92200,62000,87300,70700,73900,68600,83200,72000,101200,77200,51300,120500,92900,114500,95800,98200,87400,114900,0.6459554390563566,0.7605925925925927,0.4870197628458498,0.6384248704663213,23.84755226593949,5.181145305804441,64.26438124918842,25.308401506297884
Hamilton College,Liberal Arts,Northeastern,FALSE,NY,Private nonprofit,Other elite schools (public and private),59590,55300,47800,30900,69400,41000,NA,NA,58400,45400,66300,50800,74300,60200,40900,87000,62800,63400,62500,80900,67700,80100,0.8620614828209766,0.9973221757322176,0.6416150740242261,0.7918936877076412,-7.199194495720758,-19.785198858868938,24.685349890921295,1.0236616882027185
Rensselaer Polytechnic Institute,Engineering,Northeastern,FALSE,NY,Private nonprofit,Other elite schools (public and private),61820,66700,66100,45600,81800,38400,63900,64600,67900,60500,69100,71600,86000,82000,58300,105000,45300,86100,88800,84800,74100,89500,0.7414692653673164,0.7481996974281393,0.5750697674418604,0.6031219512195123,7.893885473956648,6.9233257845357485,39.113555483662246,32.643157554189585
Rochester Institute of Technology,Engineering,Northeastern,FALSE,NY,Private nonprofit,Selective private,47291,50600,46500,26700,68000,33500,42400,50000,54400,40800,55500,54100,67800,62400,37000,88100,48300,62100,66600,70800,50500,74700,0.7476837944664032,0.8136086021505377,0.5580058997050148,0.6062948717948718,6.997103042862278,-1.6726226977649024,43.36765980842021,31.948996637838068
Skidmore College,Liberal Arts,Northeastern,FALSE,NY,Private nonprofit,Highly selective private,60900,41900,38800,20700,57300,28800,45300,39100,41500,39900,45400,45200,57000,49700,29200,70000,48500,57800,58100,56300,52100,65000,1.1627684964200478,1.2556701030927835,0.8547368421052632,0.9802816901408451,-31.198686371100166,-36.28899835796388,-6.403940886699508,-18.39080459770115
Siena College,Liberal Arts,Northeastern,FALSE,NY,Private nonprofit,Selective private,47265,46000,46200,30200,58600,24100,40200,44700,47700,44200,47800,50600,62300,57100,39400,77200,41500,51600,63300,64300,57200,68900,0.8220000000000001,0.8184415584415584,0.6069341894060996,0.6622066549912434,-2.67639902676399,-2.2532529355760076,31.810007405056595,20.80820903416905
Binghamton University,State,Northeastern,FALSE,NY,Public,Highly selective public,22688,47700,45300,26900,64300,28800,43100,47600,50200,44800,50300,53200,68100,61600,38900,88200,47800,65200,65300,71400,62400,73700,0.38051153039832286,0.40067108167770416,0.2665256975036711,0.29464935064935066,110.24330042313117,99.66502115655854,200.1586741889986,171.50916784203102
Stony Brook University,State,Northeastern,FALSE,NY,Public,Highly selective public,21358,44000,39300,22800,59500,31500,43300,43500,45100,41900,46000,48800,62600,57600,36100,81100,42500,61300,62700,64200,58100,67300,0.38832727272727274,0.4347684478371502,0.2729456869009585,0.2966388888888889,106.01179885757092,84.00599307051222,193.09860473827138,169.68817304991103
Union College,Liberal Arts,Northeastern,FALSE,NY,Private nonprofit,Highly selective private,60042,51400,49900,31800,67900,28600,49200,42800,54900,45400,57300,56600,80200,65400,46800,94300,79700,91600,75600,79100,71700,87000,0.9345058365758755,0.9625971943887776,0.598922693266833,0.7344587155963302,-14.393258052696446,-16.891509276839546,33.57316545085107,8.923753372639153
Vassar College,Liberal Arts,Northeastern,FALSE,NY,Private nonprofit,Other elite schools (public and private),61320,39400,36100,22700,49900,27400,37600,36900,40900,38200,40900,44600,61500,54600,34500,74600,45500,55100,58800,63700,58000,66800,1.2450761421319798,1.358891966759003,0.7976585365853659,0.8984615384615385,-35.74690150032615,-41.128506196999346,0.29354207436399216,-10.95890410958904
Appalachian State University,State,Southern,FALSE,NC,Public,Selective public,19017,34300,33000,21400,42300,26200,31900,33900,35700,32000,36800,35200,43600,38800,27600,54300,27300,40300,42000,46100,39000,48000,0.4435451895043732,0.4610181818181818,0.3489357798165138,0.3921030927835052,80.3649366356418,73.52894778356207,129.26854919282746,104.0279749697639
Davidson College,Liberal Arts,Southern,FALSE,NC,Private nonprofit,Other elite schools (public and private),57458,49400,45500,30800,60600,30200,NA,NA,52200,46400,52700,51400,71100,58900,39200,87100,56400,NA,NA,72000,61700,80400,0.930493927125506,1.0102505494505496,0.6465035161744024,0.780414261460102,-14.024156775383759,-20.8117233457482,23.74255978279787,2.509659229350134
East Carolina University,State,Southern,FALSE,NC,Public,Selective public,20710,37300,34900,23000,46900,27600,34200,37800,38700,34700,40700,37800,45800,40500,27600,57400,34100,42800,45300,48200,42000,51500,0.4441823056300268,0.47472779369627505,0.3617467248908297,0.40908641975308646,80.10622887493965,68.51762433606953,121.14920328343794,95.55770159343312
University of North Carolina at Chapel Hill,State,Southern,FALSE,NC,Public,Other elite schools (public and private),23978,49900,41000,27700,59900,55600,50900,49400,49800,45100,57100,49000,68800,55600,37300,84000,59400,70200,65500,70100,64500,75600,0.3844168336673347,0.4678634146341463,0.2788139534883721,0.34500719424460435,108.10743181249478,70.99007423471515,186.929685545083,131.87922262073567
University of North Carolina at Charlotte,State,Southern,FALSE,NC,Public,Selective public,18044,38600,35900,23200,50500,23100,36900,37900,40700,34600,42900,40500,50300,44000,29800,63900,35400,48800,50100,51700,44000,58200,0.37396891191709847,0.4020947075208914,0.2869821073558648,0.3280727272727273,113.92152516071825,98.95810241631567,178.76302371979605,143.8483706495234
Western Carolina University,State,Southern,FALSE,NC,Public,Selective public,18549,33400,31900,20300,41600,20300,31500,34100,34200,31200,35800,34700,41300,37700,25500,51600,33200,40900,41300,41600,36100,46800,0.44428742514970065,0.46517868338557994,0.3593026634382567,0.39361273209549075,80.06361528923392,71.97692597983719,122.65351231872339,103.24545797617122
University of North Dakota,State,Midwestern,FALSE,ND,Public,Selective public,20306,45400,41700,28900,57100,26300,45300,45200,45600,41500,48700,46800,57800,48700,33700,70000,48100,62200,55400,57500,47600,66400,0.3578149779735683,0.3895635491606715,0.2810519031141869,0.3335687885010267,123.5792376637447,105.35802225943071,184.64493253225646,139.830591943268
Cleveland State University,State,Midwestern,FALSE,OH,Public,Selective public,21684,37200,34100,20500,49400,24300,33600,39700,40400,34600,40600,38100,46400,41300,24700,61000,34700,43300,47800,50700,42000,52000,0.4663225806451613,0.5087155425219941,0.37386206896551727,0.42002905569007265,71.55506364139458,57.258808337945034,113.98266002582548,90.46301420402139
Denison University,Liberal Arts,Midwestern,FALSE,OH,Private nonprofit,Highly selective private,56520,41600,38900,24600,55000,23600,NA,NA,43300,39400,44000,45400,57600,48800,34600,71200,40800,57500,53100,59600,54800,61500,1.086923076923077,1.1623650385604114,0.785,0.9265573770491804,-26.397735314932767,-31.174805378627035,1.910828025477707,-13.658881811748053
Oberlin College,Liberal Arts,Midwestern,FALSE,OH,Private nonprofit,Other elite schools (public and private),62051,30700,27400,14300,41900,21200,31200,30500,30700,28300,33700,34900,45500,40800,21900,60600,35500,46200,48100,44200,40700,51400,1.6169641693811077,1.8117080291970806,1.0910065934065933,1.216686274509804,-50.52456850010475,-55.842774491950166,-26.673220415464698,-34.24763500991121
University of Toledo,State,Midwestern,FALSE,OH,Public,Selective public,21480,37900,33400,20600,50100,27300,33400,37200,41900,34700,41000,39600,52800,43800,27000,66000,45300,49500,52000,55700,46700,58700,0.45340369393139845,0.5144910179640719,0.32545454545454544,0.3923287671232877,76.44320297951583,55.493482309124765,145.81005586592178,103.91061452513965
Wittenberg University,Liberal Arts,Midwestern,FALSE,OH,Private nonprofit,Selective private,50115,37800,36700,25400,48500,19700,27600,34600,41500,34600,41800,40700,49000,43200,29600,61000,33300,43500,45200,52100,43500,55600,1.0606349206349206,1.092425068119891,0.8182040816326531,0.9280555555555555,-24.573480993714455,-26.76843260500848,-2.2248827696298514,-13.798263992816523
Lewis and Clark College,Liberal Arts,Western,FALSE,OR,Private nonprofit,Selective private,55517,35900,32100,18400,47100,24800,44400,34400,31300,36300,35200,42300,55000,46200,29000,63800,55100,63400,51300,52300,50700,62800,1.2371476323119779,1.383601246105919,0.8075200000000001,0.9613333333333334,-35.335122575067096,-42.17987283174523,-0.9312462849217357,-16.78224687933426
Oregon State University,State,Western,FALSE,OR,Public,Selective public,23326,42700,37700,24200,55000,36600,41300,43100,43500,36400,48400,43500,56700,49600,30900,73500,43300,54900,56200,58400,48400,64400,0.43702107728337236,0.4949814323607427,0.3291146384479718,0.3762258064516129,83.05753236731545,61.62222412758296,143.0763954385664,112.63825773814627
Portland State University,State,Western,FALSE,OR,Public,Selective public,20318,38400,34500,20100,50700,28000,35200,41600,40800,35200,42600,40000,50800,44700,25800,67100,37700,47300,54100,54000,45100,57600,0.42329166666666673,0.4711420289855073,0.31996850393700793,0.3636331096196868,88.99497982084851,69.80017718279358,150.02460872133082,120.00196869770647
Reed College,Liberal Arts,Western,FALSE,OR,Private nonprofit,Other elite schools (public and private),59595,34800,30400,15100,44800,28500,NA,NA,37000,30700,40800,33600,52700,42200,24600,59500,61900,NA,NA,46500,44700,69200,1.37,1.5682894736842106,0.9046679316888047,1.1297630331753554,-41.605839416058394,-48.989009145062504,-11.569762563973487,-29.18869032636966
University of Oregon,State,Western,FALSE,OR,Public,Selective public,23055,39800,35600,22000,51400,29500,39200,40400,39800,36400,43400,40800,51300,44800,27700,65300,43100,48000,51000,54000,46300,57300,0.4634170854271357,0.5180898876404495,0.35953216374269004,0.4116964285714286,72.63066579917589,54.41335935805682,122.5113858165257,94.31793537193668
Bucknell University,Liberal Arts,Northeastern,FALSE,PA,Private nonprofit,Other elite schools (public and private),61060,62400,57700,39700,76400,41500,46800,61800,65400,58900,65800,68700,82400,70800,49000,99900,63500,78800,77100,84400,74300,90300,0.7828205128205128,0.8465857885615252,0.5928155339805826,0.6899435028248588,2.1945627251883395,-5.50278414674091,34.949230265312806,15.951523092040615
Carnegie Mellon University,Engineering,Northeastern,FALSE,PA,Private nonprofit,Other elite schools (public and private),61990,84000,69800,37600,104100,85200,76200,84900,85900,63000,98400,76100,103000,83600,46700,125400,100300,112300,103900,99300,85800,114700,0.5903809523809523,0.710487106017192,0.4814757281553398,0.5932057416267943,35.50572673011776,12.598806259074044,66.15583158573963,34.86046136473625
Franklin and Marshall College,Liberal Arts,Northeastern,FALSE,PA,Private nonprofit,Other elite schools (public and private),60765,49200,46000,30200,61200,30300,NA,NA,51000,46200,52300,50600,69200,58900,40300,88100,49300,NA,NA,72000,61400,75400,0.988048780487805,1.0567826086956522,0.702485549132948,0.8253310696095076,-19.032337694396446,-24.298527112647083,13.881346169670039,-3.0692010203241997
Gettysburg College,Liberal Arts,Northeastern,FALSE,PA,Private nonprofit,Highly selective private,58320,47100,43900,29900,61000,27200,NA,NA,48700,43700,50600,49600,66300,56100,38800,82200,54600,54700,65000,68000,56800,76600,0.9905732484076433,1.0627790432801822,0.703710407239819,0.8316577540106952,-19.238683127572017,-24.72565157750343,13.68312757201646,-3.8065843621399176
Juniata College,Liberal Arts,Northeastern,FALSE,PA,Private nonprofit,Selective private,49098,37500,35500,22900,46900,22000,NA,NA,40200,35100,40400,42700,56800,49200,32700,71900,37600,61800,55200,56200,49800,63900,1.0474240000000001,1.1064338028169016,0.6915211267605634,0.7983414634146342,-23.62214346816571,-27.69562914986354,15.686993360218338,0.2077477697665893
Lafayette College,Liberal Arts,Northeastern,FALSE,PA,Private nonprofit,Other elite schools (public and private),59750,58400,56400,40000,75100,29800,NA,NA,60500,54900,61100,62300,80500,68600,48700,101900,54200,77800,74000,83000,70300,88800,0.8184931506849316,0.847517730496454,0.5937888198757765,0.6967930029154519,-2.259414225941423,-5.606694560669457,34.72803347280335,14.811715481171547
Moravian College,Liberal Arts,Northeastern,FALSE,PA,Private nonprofit,Selective private,47447,42600,40800,26200,56500,23500,43900,36300,44500,41300,44000,45700,55100,51100,34500,68300,34000,54100,53700,55800,49100,64600,0.8910234741784038,0.9303333333333333,0.6888856624319419,0.7428101761252446,-10.215608995300018,-14.009315657470442,16.129576158661244,7.69911690939364
Swarthmore College,Liberal Arts,Northeastern,FALSE,PA,Private nonprofit,Other elite schools (public and private),60671,44500,38300,21300,56900,35400,NA,NA,45200,40400,49300,47300,70000,56700,35300,80200,57900,NA,NA,80000,58300,83500,1.0907146067415732,1.2672793733681464,0.6933828571428572,0.8560282186948854,-26.653590677588962,-36.87264096520578,15.376374215028596,-6.545136885826837
University of Pennsylvania,Ivy League,Northeastern,FALSE,PA,Private nonprofit,Ivy Plus,61800,91200,71600,45400,108000,80000,77700,92100,99900,75800,109500,76700,131600,85900,55100,151600,147600,113100,119900,152000,102300,167300,0.5421052631578948,0.6905027932960894,0.3756838905775076,0.5755529685681025,47.57281553398058,15.857605177993527,112.94498381877023,38.996763754045304
Ursinus College,Liberal Arts,Northeastern,FALSE,PA,Private nonprofit,Selective private,58610,42000,39900,23400,54900,24600,NA,NA,43500,41600,42400,49700,61800,55200,36400,78300,41900,49600,64500,64200,57900,65600,1.1163809523809525,1.1751378446115288,0.758705501618123,0.8494202898550726,-28.339873741682307,-31.922880054598192,5.442757208667462,-5.818119774782461
Brown University,Ivy League,Northeastern,FALSE,RI,Private nonprofit,Ivy Plus,60460,64800,52500,32600,82200,53300,62000,56600,69300,54000,76200,57800,89100,67500,47900,103100,86500,96800,75200,91700,79900,99400,0.7464197530864198,0.9212952380952381,0.5428507295173962,0.716562962962963,7.178299702282501,-13.165729407872973,47.37016209063844,11.644062189877605
University of Rhode Island,State,Northeastern,FALSE,RI,Public,Selective public,26452,42500,39400,25000,56500,26100,36100,41400,45100,40900,44600,46200,58400,52900,34200,75400,40300,47600,56400,63300,53300,65100,0.49792,0.5370964467005076,0.36235616438356166,0.40003024574669194,60.66838046272493,48.9490397701497,120.77725691819143,99.98487827007409
Clemson University,State,Southern,FALSE,SC,Public,Highly selective public,26065,48100,43600,28800,61300,48600,45800,50400,47700,41600,52500,48000,58900,52400,35100,76000,38900,54700,58200,60600,51200,64900,0.4335135135135135,0.478256880733945,0.3540237691001698,0.39793893129770996,84.53865336658353,67.27412238634184,125.97352771916364,101.0358718588145
Austin Peay State University,State,Southern,FALSE,TN,Public,Selective public,19386,31400,29200,17200,42000,20400,30000,32400,32400,29200,34700,32100,38800,34900,19800,50300,28000,34800,41600,42800,35100,45400,0.4939108280254777,0.531123287671233,0.3997113402061856,0.444378223495702,61.97255751573301,50.624161766223054,100.14443412772103,80.02682348086248
University of Memphis,State,Southern,FALSE,TN,Public,Selective public,21492,35100,31700,19500,45300,31300,33200,35400,38000,32800,38500,34800,43200,37400,23200,54700,35500,40000,43900,48600,38400,50700,0.4898461538461539,0.542384858044164,0.398,0.4597219251336899,63.31658291457286,47.49674297412991,101.00502512562815,74.01823934487251
Tennessee Technological University,Engineering,Southern,FALSE,TN,Public,Selective public,21411,35400,32800,21300,44700,23000,32500,35800,38000,31000,39800,36100,46700,40500,27300,59400,32300,43500,46600,50800,38300,54500,0.4838644067796611,0.522219512195122,0.36678372591006425,0.42293333333333333,65.33557517164074,53.19228433982532,118.11218532530008,89.15510718789407
Lamar University,State,Southern,FALSE,TX,Public,Selective public,19692,37200,32200,18800,49700,26200,34900,38000,40700,32700,44300,36000,46000,39500,24200,58800,33600,42000,46200,53800,38400,57600,0.4234838709677419,0.48924223602484473,0.3424695652173913,0.39882531645569624,88.90920170627666,63.51817997156206,133.59739995937437,100.58907170424538
Tarleton State University,State,Southern,FALSE,TX,Public,Selective public,17964,38200,35900,22500,49400,23600,34900,39600,40300,34100,44200,39600,47700,42500,28800,59400,32800,44800,48500,49900,40700,57300,0.3762094240837697,0.40031197771587745,0.3012830188679245,0.3381458823529412,112.6475172567357,99.84413270986417,165.5310621242485,136.58427967045202
University of Utah,State,Western,FALSE,UT,Public,Selective public,18931,47200,40800,24700,60900,43500,47700,49900,41700,36000,55800,47100,63500,53000,31000,80300,58300,64200,65200,58800,43200,76800,0.32086440677966105,0.3711960784313726,0.23850078740157482,0.2857509433962264,149.32650150546723,115.5195182504886,235.4286619829909,179.96408008029158
Utah State University,State,Western,FALSE,UT,Public,Selective public,16572,37400,33900,19000,50800,31600,37700,38200,35800,26900,48000,39400,49600,43200,23100,67100,42700,51500,47200,48400,30400,64700,0.35448128342245994,0.3910796460176991,0.26729032258064517,0.30688888888888893,125.68187303886074,104.56191165821869,199.30002413709872,160.6806661839247
Southern Utah University,State,Western,FALSE,UT,Public,Selective public,18315,34100,30200,16100,45300,25200,34200,34200,33700,25400,43500,35000,45500,39800,19700,58500,41700,46200,44700,44500,28700,59700,0.4296774193548387,0.4851655629139073,0.322021978021978,0.36814070351758793,86.18618618618619,64.8921648921649,148.43024843024844,117.3082173082173
Middlebury College,Liberal Arts,Northeastern,FALSE,VT,Private nonprofit,Other elite schools (public and private),59470,47900,41900,23700,61000,37300,51200,41100,48900,44200,51900,52900,71900,58200,36500,86800,64200,71400,61000,78700,58000,91800,0.9932359081419625,1.1354653937947494,0.6616968011126565,0.8174570446735395,-19.4551874894905,-29.54430805448125,20.901294770472507,-2.135530519589709
University of Vermont,State,Northeastern,FALSE,VT,Public,Selective public,28348,40400,37100,23900,52300,27800,38300,39200,41500,39100,42000,43000,55200,47300,31500,68100,44100,59600,52200,55100,50800,61100,0.5613465346534653,0.6112776280323451,0.4108405797101449,0.4794587737843552,42.514463101453366,30.873430224354454,94.72273176238183,66.85480457175109
Randolph-Macon College,Liberal Arts,Southern,TRUE,VA,Private nonprofit,Selective private,47262,36800,36200,24500,48000,18500,30000,36500,38700,34000,39700,41400,54800,49100,35700,65100,38100,NA,NA,54800,50400,59500,1.0274347826086956,1.04446408839779,0.6899562043795622,0.7700529531568229,-22.13617705556261,-23.405695907917565,15.949388515086117,3.8889594177140197
Virginia Commonwealth University,State,Southern,FALSE,VA,Public,Selective public,27494,37500,34400,21700,48700,26600,37600,38100,37000,35800,39900,39700,49700,44000,28100,64100,35100,51000,48600,49700,46700,54300,0.5865386666666667,0.6393953488372093,0.4425593561368209,0.49989090909090916,36.39339492252855,25.118207608932856,80.76671273732451,60.03491670910017
University of Richmond,Liberal Arts,Southern,FALSE,VA,Private nonprofit,Other elite schools (public and private),57535,51900,46900,31000,65900,37500,47000,48600,55800,47700,57600,51300,78900,64500,43500,96900,62300,89200,64400,81600,68200,91300,0.8868593448940271,0.981407249466951,0.5833713561470216,0.7136124031007752,-9.794038411401756,-18.484400799513338,37.1339184844008,12.105674806639437
George Mason University,State,Southern,FALSE,VA,Public,Selective public,23212,47000,44900,27700,62700,28100,45800,48700,46500,43400,51300,52600,63900,59900,37800,85000,40900,64600,64400,62900,57300,71900,0.39509787234042554,0.4135768374164811,0.29060406885759,0.3100100166944908,102.48147509908667,93.43443046699983,175.28864380492848,158.0561778390488
Virginia Polytechnic Institute and State University,Engineering,Southern,FALSE,VA,Public,Highly selective public,26165,50400,48000,31100,66600,29900,49700,48400,51300,45700,53600,55100,67100,62500,40800,87000,43700,64400,64400,68600,58300,72900,0.41531746031746036,0.4360833333333333,0.31195230998509693,0.33491200000000004,92.6237339957959,83.45117523409135,156.44945537932352,138.86871775272311
Washington and Lee University,Liberal Arts,Southern,FALSE,VA,Private nonprofit,Other elite schools (public and private),58575,58900,49900,33900,72700,43300,NA,NA,59900,52700,65900,61800,93300,76100,50400,110800,73000,NA,NA,88100,76500,106000,0.7955857385398981,0.9390781563126253,0.50225080385852094,0.6157687253613666,0.5548442168160478,-14.810072556551429,59.28297055057619,29.918907383696116
Eastern Washington University,State,Western,FALSE,WA,Public,Selective public,20365,37700,34600,22100,49200,28900,37700,38200,37200,34500,41700,39000,46700,43100,27100,60600,34200,46100,47600,46600,41600,54000,0.4321485411140584,0.47086705202312146,0.34886509635974305,0.3780046403712297,85.12153204026515,69.89933709796219,129.31500122759635,111.63761355266388
University of Puget Sound,Liberal Arts,Western,FALSE,WA,Private nonprofit,Highly selective private,55948,40200,36400,22300,54400,24300,45900,40700,37500,37600,44200,45400,59100,52700,33500,73100,47700,55800,62200,59000,54200,66600,1.1133930348258707,1.2296263736263737,0.7573333333333334,0.8493055028462998,-28.14756559662544,-34.939586759133476,5.633802816901409,-5.805390719954243
Washington State University,State,Western,FALSE,WA,Public,Selective public,26543,44700,40600,26500,58400,29500,42900,45100,45800,41300,48600,46200,56600,50600,32900,74800,39300,53400,56200,59100,49300,65100,0.4750425055928412,0.5230147783251232,0.37516607773851596,0.4196521739130435,68.40598274497984,52.95934898089892,113.23889537731229,90.63406547865728
Western Washington University,State,Western,FALSE,WA,Public,Selective public,22458,37400,35400,22100,47900,24300,36800,37300,37900,34900,40700,39900,50600,45800,29800,64200,35600,47700,50100,53000,43600,60000,0.4803850267379679,0.5075254237288136,0.35506719367588935,0.39227947598253277,66.53308397898299,57.62757146673791,125.30946655980051,103.93623653041233
Whitman College,Liberal Arts,Western,FALSE,WA,Private nonprofit,Other elite schools (public and private),56600,36300,34000,19000,46400,24300,NA,NA,36300,34800,38400,42400,59400,51300,31700,76600,44300,NA,NA,64700,57600,61700,1.247382920110193,1.3317647058823532,0.7622895622895624,0.8826510721247565,-35.86572438162544,-39.92932862190813,4.946996466431095,-9.363957597173144
University of Wyoming,State,Western,FALSE,WY,Public,Selective public,18145,44200,38700,24300,55800,36200,43500,43900,44900,38900,50400,42700,54200,47300,29500,68000,41000,55300,51600,55500,44700,64400,0.3284162895927602,0.3750904392764858,0.2678228782287823,0.30689217758985204,143.59327638467897,113.28189583907414,198.7048773766878,160.6778726922017
University of Central Florida,State,Southern,FALSE,FL,Public,Selective public,19752,39900,37100,24100,50700,29100,38800,40600,40400,37000,43700,41400,51200,45400,30200,65300,36200,49800,51400,53000,45900,58900,0.39603007518796995,0.4259191374663073,0.30862500000000004,0.34805286343612335,102.0048602673147,87.82908059943297,159.21425678412314,129.85014175779668
Florida International University,State,Southern,FALSE,FL,Public,Selective public,18784,41500,38700,23300,54400,31100,39800,43600,42600,39100,44800,43000,52000,46300,29200,67700,36700,51000,52500,54900,48400,57300,0.3621012048192771,0.3882997416020672,0.2889846153846154,0.324561555075594,120.9327086882453,106.02640545144804,176.8313458262351,146.4863713798978
