School.Name,School.Type,Region,Is.Party,STABBR,CONTROL,Tier,COSTT4_A,MN_EARN_WNE_P6,MD_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,SD_EARN_WNE_P6,MN_EARN_WNE_INC1_P6,MN_EARN_WNE_INC2_P6,MN_EARN_WNE_INC3_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MD_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,SD_EARN_WNE_P10,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,BE_MN_P6,BE_MD_P6,BE_MN_P10,BE_MD_P10,ROI_MN_P6,ROI_MD_P6,ROI_MN_P10,ROI_MD_P10
California State University-Northridge,State,California,FALSE,CA,Public,Selective public,18665,37400,33700,19600,49700,25700,NA,NA,38800,35500,40100,39500,49700,45400,27000,65900,36600,NA,NA,51900,46900,54200,0.39925133689839576,0.44308605341246293,0.3004426559356137,0.3288986784140969,100.37503348513259,80.55183498526655,166.2737744441468,143.23600321457272
San Francisco State University,State,California,FALSE,CA,Public,Selective public,19998,42100,38000,22200,55500,29100,NA,NA,40500,41100,43600,44000,54700,49200,29500,71200,37900,NA,NA,55600,51900,59300,0.3800095011876485,0.4210105263157895,0.29247531992687387,0.3251707317073171,110.52105210521053,90.01900190019002,173.52735273527352,146.02460246024603
San Jose State University,State,California,FALSE,CA,Public,Selective public,21112,47200,42200,25500,61800,36500,39300,41000,47900,44500,50400,49400,63800,56100,34600,83900,47800,54700,65300,67800,59000,69200,0.3578305084745763,0.40022748815165876,0.26472727272727276,0.3010623885918004,123.5695339143615,99.88632057597574,202.1978021978022,165.72565365668814
California State University-Stanislaus,State,California,FALSE,CA,Public,Selective public,16190,39300,35000,20200,51200,28100,57000,56100,43000,37500,42600,39300,48500,45400,27500,62500,32700,75300,82700,52000,46200,53500,0.3295674300254453,0.37005714285714286,0.2670515463917526,0.2852863436123348,142.74243360098825,116.18282890673255,199.56763434218655,180.42001235330451
Pomona College,Liberal Arts,California,FALSE,CA,Private nonprofit,Other elite schools (public and private),59730,51200,41100,18900,61200,61100,45200,42700,49500,35500,65200,51300,77300,58100,41300,83000,82300,69600,67300,88200,59700,91700,0.93328125,1.1626277372262774,0.6181630012936611,0.8224440619621343,-14.280930855516491,-31.19035660472125,29.41570400133936,-2.7289469278419554
Occidental College,Liberal Arts,California,FALSE,CA,Private nonprofit,Other elite schools (public and private),63363,40700,39200,22600,53800,25600,43700,43600,41100,38800,43400,47200,59400,50600,29700,76100,48100,66200,66900,58200,55600,64700,1.2454643734643736,1.2931224489795918,0.8533737373737375,1.001786561264822,-35.766930227419785,-38.13424238120039,-6.254438710288339,-20.142670012467846
University of California-Berkeley,State,California,FALSE,CA,Public,Highly selective public,33020,57600,48700,27500,75500,50800,36000,35300,60100,49800,66400,56800,79000,64700,41000,99700,72200,56400,52600,80100,69200,90700,0.45861111111111114,0.542422997946612,0.334379746835443,0.40828438948995366,74.4397334948516,47.48637189582072,139.2489400363416,95.94185342216839
University of California-Davis,State,California,FALSE,CA,Public,Selective public,32638,45300,40400,23600,59400,31400,47200,47900,47900,42100,49400,49200,68100,58200,38800,85800,52000,72900,67200,67200,63400,74300,0.5763885209713024,0.6462970297029704,0.38341262848751834,0.4486323024054983,38.79526931797292,23.782094491084013,108.65249096145597,78.31974998468043
University of California-Irvine,State,California,FALSE,CA,Public,Highly selective public,29759,44300,41100,24500,58900,28900,41400,42000,45600,40700,48700,48800,65800,58400,35400,84800,50300,56800,60400,64600,60400,71700,0.5374085778781039,0.5792506082725061,0.3618115501519757,0.40765753424657536,48.86252898282872,38.10947948519775,121.1095802950368,96.24315333176519
University of California-Riverside,State,California,FALSE,CA,Public,Selective public,30174,36800,33700,19900,49000,25400,37900,37500,40000,34500,39600,42000,55300,49700,31800,70500,41400,51900,53000,57300,49700,62300,0.6559565217391304,0.7162967359050446,0.4365135623869801,0.4856981891348089,21.959302710943195,11.685557102140915,83.27036521508585,64.71134088950751
