School.Name,Family.Income.Tercile,MN_EARN_WNE_INC_P10
University of Puget Sound,Lowest Income Tercile,55800
Washington State University,Lowest Income Tercile,53400
Western Washington University,Lowest Income Tercile,47700
Whitman College,Lowest Income Tercile,NA
University of Wyoming,Lowest Income Tercile,55300
University of Central Florida,Lowest Income Tercile,49800
Florida International University,Lowest Income Tercile,51000
Auburn University,Middle Income Tercile,54600
University of Alabama at Birmingham,Middle Income Tercile,49500
University of Arkansas,Middle Income Tercile,51700
California Institute of Technology,Middle Income Tercile,NA
California State University-Fullerton,Middle Income Tercile,52200
California State University-East Bay,Middle Income Tercile,61000
California State University-Long Beach,Middle Income Tercile,54400
California State University-Dominguez Hills,Middle Income Tercile,52800
California State University-Chico,Middle Income Tercile,55000
Humboldt State University,Middle Income Tercile,42000
California State University-Sacramento,Middle Income Tercile,54900
San Diego State University,Middle Income Tercile,54800
California State University-Northridge,Middle Income Tercile,50800
San Francisco State University,Middle Income Tercile,55300
San Jose State University,Middle Income Tercile,64200
California State University-Stanislaus,Middle Income Tercile,47800
Harvey Mudd College,Middle Income Tercile,NA
Pomona College,Middle Income Tercile,NA
Occidental College,Middle Income Tercile,65300
University of California-Berkeley,Middle Income Tercile,82700
University of California-Davis,Middle Income Tercile,67300
University of California-Irvine,Middle Income Tercile,66900
University of California-Riverside,Middle Income Tercile,52600
University of California-San Diego,Middle Income Tercile,67200
University of California-Santa Barbara,Middle Income Tercile,60400
University of California-Santa Cruz,Middle Income Tercile,53000
Colorado College,Middle Income Tercile,44400
Colorado School of Mines,Middle Income Tercile,96300
Fort Lewis College,Middle Income Tercile,38100
University of Connecticut,Middle Income Tercile,64900
Wesleyan University,Middle Income Tercile,56600
Yale University,Middle Income Tercile,126400
University of Delaware,Middle Income Tercile,58200
Florida Atlantic University,Middle Income Tercile,49200
Florida State University,Middle Income Tercile,52200
University of Florida,Middle Income Tercile,65200
Georgia State University,Middle Income Tercile,49400
University of Georgia,Middle Income Tercile,57700
Boise State University,Middle Income Tercile,45600
Idaho State University,Middle Income Tercile,43800
