"","School.Name","School.Type","Region","Is.Party","STABBR","CONTROL","Tier","COSTT4_A","MN_EARN_WNE_P6","MD_EARN_WNE_P6","PCT25_EARN_WNE_P6","PCT75_EARN_WNE_P6","SD_EARN_WNE_P6","MD_EARN_WNE_P8","MN_EARN_WNE_P10","MD_EARN_WNE_P10","PCT25_EARN_WNE_P10","PCT75_EARN_WNE_P10","SD_EARN_WNE_P10","BE_MN_P6","BE_MD_P6","BE_MN_P10","BE_MD_P10","ROI_MN_P6","ROI_MD_P6","ROI_MN_P10","ROI_MD_P10","gender","gendered_Income_P10","gendered_Income_P6","family_income_level","born_Income_P10","born_Income_P6"
"26","University of California-Riverside","State","California",FALSE,"CA","Public","Selective public",30174,36800,33700,19900,49000,25400,42000,55300,49700,31800,70500,41400,3.27978260869565,3.58148367952522,2.1825678119349,2.42849094567404,21.9593027109432,11.6855571021409,83.2703652150858,64.7113408895075,"Female",49700,34500,"Low",51900,37900
"28","University of California-Santa Barbara","State","California",TRUE,"CA","Public","Highly selective public",33826,42800,39000,22900,56300,29300,46800,62400,55300,34000,79800,50700,3.16130841121495,3.46933333333333,2.16833333333333,2.44672694394213,26.5298882516407,15.2959262106072,84.4734819369716,63.4837107550405,"Female",56300,40400,"Low",95000,75500
"29","University of California-Santa Cruz","State","California",FALSE,"CA","Public","Selective public",33036,38400,33800,19400,50200,28500,40700,53800,46900,27700,68100,42700,3.44125,3.90958579881657,2.45620817843866,2.81756929637527,16.2368325463131,2.31262864753602,62.8526455987408,41.9663397505751,"Female",49000,35600,"Low",37100,29500
"30","Colorado College","Liberal Arts","Western",FALSE,"CO","Private nonprofit","Highly selective private",57400,35900,34000,17300,49100,25800,40600,49900,45400,27100,61600,40300,6.39554317548747,6.75294117647059,4.60120240480962,5.05726872246696,-37.4564459930314,-40.7665505226481,-13.0662020905923,-20.9059233449477,"Female",45900,32900,"Low",61700,47800
"31","Colorado School of Mines","Engineering","Western",FALSE,"CO","Public","Highly selective public",30154,74700,69200,51100,92000,40000,72200,95600,84900,55800,118300,64800,1.61467202141901,1.74300578034682,1.26167364016736,1.42068315665489,147.728327916694,129.488625058035,217.039198779598,181.55468594548,"Female",89600,68900,"Low",67400,44000
"32","Fort Lewis College","Liberal Arts","Western",FALSE,"CO","Public","Selective public",21691,30500,28100,16600,39000,20800,30500,39400,35200,20700,50800,28900,2.84472131147541,3.08768683274021,2.20213197969543,2.46488636363636,40.6113134479738,29.5468166520677,81.6421557327924,62.2792863399567,"Female",35000,28200,"Low",123400,67800
"33","University of Connecticut","State","Northeastern",FALSE,"CT","Public","Highly selective public",26966,49800,46400,29400,64500,40400,52700,66000,58400,39900,82500,49200,2.1659437751004,2.32465517241379,1.63430303030303,1.84698630136986,84.6770006675072,72.0685307424164,144.752651487058,116.569012830972,"Female",59300,46800,"Low",56200,40200
"34","Wesleyan University","Liberal Arts","Northeastern",FALSE,"CT","Private nonprofit","Other elite schools (public and private)",62849,46400,42100,22900,55500,44000,46400,63400,54700,33000,76400,49800,5.41801724137931,5.97140142517815,3.96523659305994,4.59590493601462,-26.1722541329218,-33.0140495473277,0.876704482171554,-12.9659978679056,"Female",57000,39600,"Low",46200,37300
"35","Yale University","Ivy League","Northeastern",FALSE,"CT","Private nonprofit","Ivy Plus",61620,67800,56600,32400,88200,53400,72400,124400,83200,52200,153300,136200,3.6353982300885,4.3547703180212,1.98135048231511,2.9625,10.0292112950341,-8.14670561506005,101.882505679974,35.0210970464135,"Female",100200,64900,"Low",54700,39100
"36","University of Delaware","State","Southern",FALSE,"DE","Public","Selective public",23357,48100,46700,31000,63600,25000,52700,64000,57000,39400,80900,42700,1.94237006237006,2.00059957173448,1.4598125,1.63908771929825,105.933981247592,99.9400607954789,174.007792096588,144.038189836023,"Female",59200,46400,"Low",63400,47300
"37","Florida Atlantic University","State","Southern",FALSE,"FL","Public","Selective public",19310,38800,36200,22500,49400,29300,40500,48300,43200,27500,61500,33800,1.99072164948454,2.13370165745856,1.5991718426501,1.78796296296296,100.932159502848,87.4676333505955,150.129466597618,123.718280683584,"Female",45200,37400,"Low",45600,37300
"38","Florida State University","State","Southern",TRUE,"FL","Public","Selective public",21408,39700,36500,23600,50100,32300,42300,53900,46400,30900,67400,44500,2.15697732997481,2.34608219178082,1.58871985157699,1.84551724137931,85.4446935724963,70.4970104633782,151.775037369208,116.741405082212,"Female",48700,37200,"Low",57000,47300
"39","University of Florida","State","Southern",TRUE,"FL","Public","Highly selective public",20085,47700,42600,26800,62000,37000,48100,65700,56000,36600,84100,53000,1.68427672955975,1.88591549295775,1.22283105022831,1.43464285714286,137.490664675131,112.09858103062,227.109783420463,178.815036096589,"Female",60300,43400,"Low",39700,33700
"40","Georgia State University","State","Southern",FALSE,"GA","Public","Selective public",24377,38100,35200,20900,50700,24900,39400,48200,43300,26000,62700,34000,2.55926509186352,2.77011363636364,2.02298755186722,2.2519168591224,56.2948681133856,44.3984083357263,97.7273659597161,77.6264511629815,"Female",44100,36000,"Low",42500,32100
"41","University of Georgia","State","Southern",TRUE,"GA","Public","Highly selective public",21981,45200,39900,25800,55600,48000,46000,59100,50500,32800,74200,49900,1.94522123893805,2.20360902255639,1.48771573604061,1.74106930693069,105.632136845457,81.52040398526,168.868568308994,129.743869705655,"Female",52900,40000,"Low",43900,34100
"42","Boise State University","State","Western",FALSE,"ID","Public","Selective public",18651,35600,31000,18600,45900,33800,34000,43100,37100,22400,55800,36400,2.09561797752809,2.40658064516129,1.73095127610209,2.01088948787062,90.8744839418798,66.2109270280414,131.086804997051,98.916948152914,"Female",35700,31600,"Low",93800,67100
"43","Idaho State University","State","Western",FALSE,"ID","Public","Selective public",19089,34900,30700,16700,48000,25600,33100,43900,35700,20100,59200,38400,2.18785100286533,2.4871661237785,1.73931662870159,2.13882352941176,82.8278065901828,60.8256063701608,129.97537849023,87.018701870187,"Female",32700,28700,"Low",47000,40700
"44","University of Idaho","State","Western",FALSE,"ID","Public","Selective public",19381,35500,31800,19900,46000,25700,37400,47000,41900,26600,61300,32200,2.18377464788732,2.43786163522013,1.64944680851064,1.85021479713604,83.1690831226459,64.0782209380321,142.505546669418,116.191115009545,"Female",39100,31200,"Low",46300,36100
"45","Illinois Institute of Technology","Engineering","Midwestern",FALSE,"IL","Private nonprofit","Highly selective private",51572,60400,55800,39000,74800,37300,63300,78000,69100,44000,91900,64100,3.4153642384106,3.69691756272401,2.64471794871795,2.98535455861071,17.1178158690762,8.19824711083534,51.2448615527806,33.987435042271,"Female",69500,60400,"Low",40300,32900
"46","Illinois State University","State","Midwestern",FALSE,"IL","Public","Selective public",26259,41600,39600,28800,52400,21400,43200,51600,47100,33600,64700,31600,2.52490384615385,2.65242424242424,2.03558139534884,2.23006369426752,58.4218744049659,50.8054381354964,96.5040557523135,79.3670741460071,"Female",46000,38700,"Low",54400,46400
"48","Ball State University","State","Midwestern",FALSE,"IN","Public","Selective public",21807,35300,34000,23000,44700,19200,37300,44600,41100,27700,56500,28200,2.47104815864023,2.56552941176471,1.95578475336323,2.12233576642336,61.8746274132159,55.9132388682533,104.521483927179,88.4715916907415,"Female",39500,33500,"Low",53500,40700
"49","DePauw University","Liberal Arts","Midwestern",FALSE,"IN","Private nonprofit","Selective private",53410,43900,40400,25700,55500,27400,48300,66100,54000,37100,78200,53000,4.86651480637813,5.28811881188119,3.2320726172466,3.9562962962963,-17.8056543718405,-24.3587343194158,23.7595955813518,1.10466204830556,"Female",56300,40700,"Low",67300,53800
"50","Grinnell College","Liberal Arts","Midwestern",FALSE,"IA","Private nonprofit","Highly selective private",56354,36700,32800,17900,49600,26100,40900,61000,49100,32800,77200,53700,6.14212534059946,6.87243902439024,3.69534426229508,4.59095723014257,-34.8759626645846,-41.7965006920538,8.24431273733896,-12.8722007310927,"Female",55000,33300,"Low",40700,35400
"51","Iowa State University","State","Midwestern",FALSE,"IA","Public","Selective public",18828,44000,41200,28700,56300,26100,45300,56000,50700,35100,72500,34000,1.71163636363636,1.82796116504854,1.34485714285714,1.48544378698225,133.69449755683,118.823029530487,197.429360526875,169.279796048438,"Female",46600,37900,"Low",50300,38900
"52","University of Iowa","State","Midwestern",TRUE,"IA","Public","Selective public",20691,47700,42200,29100,58700,38600,47000,62000,51900,35800,73700,53400,1.73509433962264,1.96123222748815,1.33490322580645,1.59468208092486,130.53501522401,103.953409695036,199.647189599343,150.833695809772,"Female",55600,44300,"Low",62800,47700
"53","Pittsburg State University","State","Midwestern",FALSE,"KS","Public","Selective public",15931,37900,34900,23500,48300,21500,38100,44400,39400,26000,56300,30100,1.68137203166227,1.82590257879656,1.43522522522523,1.61736040609137,137.900947837549,119.069738246187,178.701901952169,147.316552633231,"Female",37400,33400,"Low",33000,28000
"54","Kansas State University","State","Midwestern",FALSE,"KS","Public","Selective public",20722,41400,38400,25400,53400,27000,42100,51900,45600,31200,66400,37100,2.00212560386473,2.15854166666667,1.59707129094412,1.81771929824561,99.7876652832738,85.3102982337612,150.458449956568,120.055979152591,"Female",43700,36300,"Low",53700,49200
"55","University of Kansas","State","Midwestern",FALSE,"KS","Public","Selective public",23049,45100,39200,26100,55100,45500,44600,59300,48800,32100,71000,55100,2.04425720620843,2.3519387755102,1.55473861720067,1.88926229508197,95.6700941472515,70.0724543364137,157.277973014014,111.72285131676,"Female",53900,42900,"Low",43900,34400
"61","Colby College","Liberal Arts","Northeastern",FALSE,"ME","Private nonprofit","Other elite schools (public and private)",59110,50200,42700,31000,63800,33900,56800,71000,58100,37400,85200,77100,4.70996015936255,5.53723653395785,3.33014084507042,4.06953528399312,-15.0735916088648,-27.7618000338352,20.1150397563864,-1.70867873456268,"Female",59600,47500,"Low",132300,83500
"62","Amherst College","Liberal Arts","Northeastern",FALSE,"MA","Private nonprofit","Other elite schools (public and private)",61544,61600,44100,22000,73500,87900,52600,83300,65000,36200,101500,78400,3.99636363636364,5.58222222222222,2.95529411764706,3.78732307692308,0.0909918107370337,-28.343949044586,35.3503184713376,5.61549460548551,"Female",70900,62000,"Low",55100,36000
"63","College of the Holy Cross","Liberal Arts","Northeastern",FALSE,"MA","Private nonprofit","Other elite schools (public and private)",57754,55500,49100,35400,68600,34500,56400,88600,71000,51300,104100,73300,4.16245045045045,4.70501018329939,2.60740406320542,3.25374647887324,-3.90275998199259,-14.9842435156007,53.4092876683866,22.9352079509644,"Female",75500,51600,"Low",46700,35400
"64","Massachusetts Institute of Technology","Engineering","Northeastern",FALSE,"MA","Private nonprofit","Ivy Plus",59020,99600,82200,50800,124100,88000,96200,153600,104700,63000,164900,170800,2.37028112449799,2.87201946472019,1.53697916666667,2.25482330468004,68.7563537783802,39.2748220942054,160.250762453406,77.3974923754659,"Female",118900,85600,"Low",79600,46200
"65","Wentworth Institute of Technology","Engineering","Northeastern",FALSE,"MA","Private nonprofit","Selective private",46112,54200,53300,37800,68400,26000,57900,67300,65100,43100,86200,42800,3.40309963099631,3.46056285178236,2.74068350668648,2.83330261136713,17.5399028452464,15.588133240805,45.9489937543373,41.1780013879251,"Female",55200,47900,"Low",64100,48400
"66","Williams College","Liberal Arts","Northeastern",FALSE,"MA","Private nonprofit","Other elite schools (public and private)",61850,51400,42600,19300,65100,44900,49400,89800,59000,35000,99400,112100,4.81322957198444,5.8075117370892,2.75501113585746,4.19322033898305,-16.8957154405821,-31.1236863379143,45.1899757477769,-4.60792239288601,"Female",77100,45400,"Low",117600,43600
"67","Worcester Polytechnic Institute","Engineering","Northeastern",FALSE,"MA","Private nonprofit","Highly selective private",57637,66300,67500,48300,81300,30500,74200,84600,84900,61300,102200,42700,3.47734539969834,3.41552592592593,2.7251536643026,2.71552414605418,15.0302756909624,17.1122716310703,46.7807137776081,47.3012127626351,"Female",74000,65100,"Low",76500,68600
"68","Eastern Michigan University","State","Midwestern",FALSE,"MI","Public","Selective public",19532,35300,32000,19500,46700,23600,36700,43900,39300,25000,55800,31400,2.21325779036827,2.4415,1.77968109339408,1.98798982188295,80.7290600040958,63.8337087855826,124.759369240221,101.208273602294,"Female",38200,32900,"Low",40200,33000
"69","Michigan State University","State","Midwestern",FALSE,"MI","Public","Selective public",24323,45200,41600,27300,58900,34500,47500,63200,53600,34900,78000,54200,2.15247787610619,2.33875,1.53943037974684,1.81514925373134,85.8323397607203,71.03153393907,159.836368868972,120.367553344571,"Female",55400,40500,"Low",69300,43800
"70","Wayne State University","State","Midwestern",FALSE,"MI","Public","Selective public",21021,37900,32600,18700,50700,29300,37100,52300,40800,23300,62700,53900,2.21857519788918,2.57926380368098,1.60772466539197,2.06088235294118,80.2958945816089,55.0830122258694,148.798820227392,94.0916226630512,"Female",46700,35300,"Low",55500,36900
"71","Western Michigan University","State","Midwestern",FALSE,"MI","Public","Selective public",22013,35300,32300,19700,46800,22000,38200,50500,45000,29800,65000,34400,2.49439093484419,2.72606811145511,1.74360396039604,1.95671111111111,60.3597873983555,46.7314768545859,129.409894153455,104.424658156544,"Female",42900,31100,"Low",46100,31800
"73","Gustavus Adolphus College","Liberal Arts","Midwestern",FALSE,"MN","Private nonprofit","Highly selective private",50008,43400,41700,28700,53600,24400,45400,58900,51700,37100,71400,41100,4.60903225806452,4.79693045563549,3.39612903225806,3.86909090909091,-13.2138857782755,-16.6133418653015,17.7811550151976,3.38345864661654,"Female",53700,40600,"Low",49300,34700
"74","Saint Olaf College","Liberal Arts","Midwestern",FALSE,"MN","Private nonprofit","Highly selective private",51860,41500,37700,24500,54400,25600,44100,57300,50400,34700,72200,38600,4.99855421686747,5.50238726790451,3.62024432809773,4.11587301587302,-19.9768607790204,-27.3042807558812,10.4897801774007,-2.81527188584651,"Female",54200,37700,"Low",47200,41000
"75","Mississippi State University","State","Southern",FALSE,"MS","Public","Selective public",21581,37100,33400,21000,46600,32500,36200,47400,40200,27600,59500,36400,2.32679245283019,2.58455089820359,1.82118143459916,2.1473631840796,71.9104768083036,54.7657661832167,119.637644224086,86.2749640887818,"Female",37700,31000,"Low",42800,33600
"76","University of Mississippi","State","Southern",TRUE,"MS","Public","Selective public",22444,41300,35100,22600,51000,40000,39700,56600,42700,28200,66400,64000,2.17375302663438,2.5577207977208,1.58614840989399,2.10248243559719,84.0135448226698,56.3892354304046,152.183211548744,90.2512921047942,"Female",49300,37800,"Low",55800,40500
"77","Montana State University-Billings","State","Western",FALSE,"MT","Public","Selective public",15893,34300,30400,18600,44700,24300,33500,38700,34600,19400,52000,29100,1.8534110787172,2.09118421052632,1.64268733850129,1.83734104046243,115.818284779463,91.2791795129932,143.503429182659,117.705908261499,"Female",32500,30500,"Low",34500,28700
"78","University of Nevada-Reno","State","Western",FALSE,"NV","Public","Selective public",20675,41600,37700,23400,53900,32900,42400,56300,47000,29000,70800,53900,1.98798076923077,2.19363395225464,1.46891651865009,1.75957446808511,101.209189842805,82.3458282950423,172.309552599758,127.3276904474,"Female",49400,38800,"Low",55400,40100
"79","University of Nevada-Las Vegas","State","Western",FALSE,"NV","Public","Selective public",17781,39300,36500,23200,51000,24600,41100,49600,45000,28000,64800,33500,1.80977099236641,1.94860273972603,1.43395161290323,1.58053333333333,121.022439682807,105.275293852989,178.949440413925,153.079129407795,"Female",46000,37900,"Low",48100,37800
"80","Dartmouth College","Ivy League","Northeastern",FALSE,"NH","Private nonprofit","Ivy Plus",63279,74600,58900,36000,91600,74900,67400,110200,75500,49000,136800,116600,3.39297587131367,4.29738539898132,2.29687840290381,3.3525298013245,17.8906114192702,-6.92014728424912,74.1494018552758,19.3128842111917,"Female",91100,60300,"Low",109000,70300
"81","Princeton University","Ivy League","Northeastern",FALSE,"NJ","Private nonprofit","Ivy Plus",57400,73600,60800,34600,94000,69600,63400,116300,74700,52000,132100,131400,3.1195652173913,3.77631578947368,1.97420464316423,3.07362784471218,28.2229965156794,5.92334494773519,102.613240418118,30.1393728222997,"Female",87300,61100,"Low",127400,71900
"82","Stevens Institute of Technology","Engineering","Northeastern",FALSE,"NJ","Private nonprofit","Highly selective private",59384,67900,68600,50200,83400,32600,76100,91900,89200,64100,109200,65500,3.49832106038292,3.46262390670554,2.58472252448313,2.66295964125561,14.3405631146437,15.5193318065472,54.7554896941937,50.2088104539943,"Female",87100,66500,"Low",90300,63200
"83","New Mexico Institute of Mining and Technology","Engineering","Western",FALSE,"NM","Public","Highly selective public",18762,49000,43500,23500,68400,34100,52500,58500,50000,31300,76600,39300,1.53159183673469,1.72524137931034,1.28287179487179,1.50096,161.16618697367,131.851614966421,211.800447713463,166.496109156806,"Female",51700,39000,"Low",57300,49900
"85","Cornell University","Ivy League","Northeastern",FALSE,"NY","Private nonprofit","Ivy Plus",61608,76300,64800,40700,92200,62000,72000,101200,77200,51300,120500,92900,3.22977719528178,3.80296296296296,2.43509881422925,3.19212435233161,23.8475522659395,5.18114530580444,64.2643812491884,25.3084015062979,"Female",87400,68600,"Low",114500,87300
"87","Rensselaer Polytechnic Institute","Engineering","Northeastern",FALSE,"NY","Private nonprofit","Other elite schools (public and private)",61820,66700,66100,45600,81800,38400,71600,86000,82000,58300,105000,45300,3.70734632683658,3.7409984871407,2.8753488372093,3.01560975609756,7.89388547395665,6.92332578453575,39.1135554836622,32.6431575541896,"Female",74100,60500,"Low",86100,63900
"88","Rochester Institute of Technology","Engineering","Northeastern",FALSE,"NY","Private nonprofit","Selective private",47291,50600,46500,26700,68000,33500,54100,67800,62400,37000,88100,48300,3.73841897233202,4.06804301075269,2.79002949852507,3.03147435897436,6.99710304286228,-1.6726226977649,43.3676598084202,31.9489966378381,"Female",50500,40800,"Low",62100,42400
"89","Skidmore College","Liberal Arts","Northeastern",FALSE,"NY","Private nonprofit","Highly selective private",60900,41900,38800,20700,57300,28800,45200,57000,49700,29200,70000,48500,5.81384248210024,6.27835051546392,4.27368421052632,4.90140845070423,-31.1986863711002,-36.2889983579639,-6.40394088669951,-18.3908045977011,"Female",52100,39900,"Low",57800,45300
