"","School.Name","School.Type","Region","Is.Party","STABBR","CONTROL","Tier","COSTT4_A","MN_EARN_WNE_P6","MD_EARN_WNE_P6","PCT25_EARN_WNE_P6","PCT75_EARN_WNE_P6","SD_EARN_WNE_P6","MD_EARN_WNE_P8","MN_EARN_WNE_P10","MD_EARN_WNE_P10","PCT25_EARN_WNE_P10","PCT75_EARN_WNE_P10","SD_EARN_WNE_P10","BE_MN_P6","BE_MD_P6","BE_MN_P10","BE_MD_P10","ROI_MN_P6","ROI_MD_P6","ROI_MN_P10","ROI_MD_P10","gender","gendered_Income_P10","gendered_Income_P6","family_income_level","born_Income_P10","born_Income_P6"
"259","University of Oregon","State","Western",FALSE,"OR","Public","Selective public",23055,39800,35600,22000,51400,29500,40800,51300,44800,27700,65300,43100,2.31708542713568,2.59044943820225,1.79766081871345,2.05848214285714,72.6306657991759,54.4133593580568,122.511385816526,94.3179353719367,"Male",57300,43400,"Low",48000,39200
"260","Bucknell University","Liberal Arts","Northeastern",FALSE,"PA","Private nonprofit","Other elite schools (public and private)",61060,62400,57700,39700,76400,41500,68700,82400,70800,49000,99900,63500,3.91410256410256,4.23292894280763,2.96407766990291,3.44971751412429,2.19456272518834,-5.50278414674091,34.9492302653128,15.9515230920406,"Male",90300,65800,"Low",78800,46800
"261","Carnegie Mellon University","Engineering","Northeastern",FALSE,"PA","Private nonprofit","Other elite schools (public and private)",61990,84000,69800,37600,104100,85200,76100,103000,83600,46700,125400,100300,2.95190476190476,3.55243553008596,2.4073786407767,2.96602870813397,35.5057267301178,12.598806259074,66.1558315857396,34.8604613647363,"Male",114700,98400,"Low",112300,76200
"266","Moravian College","Liberal Arts","Northeastern",FALSE,"PA","Private nonprofit","Selective private",47447,42600,40800,26200,56500,23500,45700,55100,51100,34500,68300,34000,4.45511737089202,4.65166666666667,3.44442831215971,3.71405088062622,-10.2156089953,-14.0093156574704,16.1295761586612,7.69911690939364,"Male",64600,44000,"Low",54100,43900
"268","University of Pennsylvania","Ivy League","Northeastern",FALSE,"PA","Private nonprofit","Ivy Plus",61800,91200,71600,45400,108000,80000,76700,131600,85900,55100,151600,147600,2.71052631578947,3.45251396648045,1.87841945288754,2.87776484284051,47.5728155339806,15.8576051779935,112.94498381877,38.9967637540453,"Male",167300,109500,"Low",113100,77700
"270","Brown University","Ivy League","Northeastern",FALSE,"RI","Private nonprofit","Ivy Plus",60460,64800,52500,32600,82200,53300,57800,89100,67500,47900,103100,86500,3.7320987654321,4.60647619047619,2.71425364758698,3.58281481481481,7.1782997022825,-13.165729407873,47.3701620906384,11.6440621898776,"Male",99400,76200,"Low",96800,62000
"271","University of Rhode Island","State","Northeastern",FALSE,"RI","Public","Selective public",26452,42500,39400,25000,56500,26100,46200,58400,52900,34200,75400,40300,2.4896,2.68548223350254,1.81178082191781,2.00015122873346,60.6683804627249,48.9490397701497,120.777256918191,99.9848782700741,"Male",65100,44600,"Low",47600,36100
"272","Clemson University","State","Southern",FALSE,"SC","Public","Highly selective public",26065,48100,43600,28800,61300,48600,48000,58900,52400,35100,76000,38900,2.16756756756757,2.39128440366972,1.77011884550085,1.98969465648855,84.5386533665835,67.2741223863418,125.973527719164,101.035871858815,"Male",64900,52500,"Low",54700,45800
"273","Austin Peay State University","State","Southern",FALSE,"TN","Public","Selective public",19386,31400,29200,17200,42000,20400,32100,38800,34900,19800,50300,28000,2.46955414012739,2.65561643835616,1.99855670103093,2.22189111747851,61.972557515733,50.6241617662231,100.144434127721,80.0268234808625,"Male",45400,34700,"Low",34800,30000
"274","University of Memphis","State","Southern",FALSE,"TN","Public","Selective public",21492,35100,31700,19500,45300,31300,34800,43200,37400,23200,54700,35500,2.44923076923077,2.71192429022082,1.99,2.29860962566845,63.3165829145729,47.4967429741299,101.005025125628,74.0182393448725,"Male",50700,38500,"Low",40000,33200
"275","Tennessee Technological University","Engineering","Southern",FALSE,"TN","Public","Selective public",21411,35400,32800,21300,44700,23000,36100,46700,40500,27300,59400,32300,2.41932203389831,2.61109756097561,1.83391862955032,2.11466666666667,65.3355751716407,53.1922843398253,118.1121853253,89.1551071878941,"Male",54500,39800,"Low",43500,32500
"276","Lamar University","State","Southern",FALSE,"TX","Public","Selective public",19692,37200,32200,18800,49700,26200,36000,46000,39500,24200,58800,33600,2.11741935483871,2.44621118012422,1.71234782608696,1.99412658227848,88.9092017062767,63.5181799715621,133.597399959374,100.589071704245,"Male",57600,44300,"Low",42000,34900
"277","Tarleton State University","State","Southern",FALSE,"TX","Public","Selective public",17964,38200,35900,22500,49400,23600,39600,47700,42500,28800,59400,32800,1.88104712041885,2.00155988857939,1.50641509433962,1.69072941176471,112.647517256736,99.8441327098642,165.531062124249,136.584279670452,"Male",57300,44200,"Low",44800,34900
"278","University of Utah","State","Western",FALSE,"UT","Public","Selective public",18931,47200,40800,24700,60900,43500,47100,63500,53000,31000,80300,58300,1.60432203389831,1.85598039215686,1.19250393700787,1.42875471698113,149.326501505467,115.519518250489,235.428661982991,179.964080080292,"Male",76800,55800,"Low",64200,47700
"279","Utah State University","State","Western",FALSE,"UT","Public","Selective public",16572,37400,33900,19000,50800,31600,39400,49600,43200,23100,67100,42700,1.7724064171123,1.9553982300885,1.33645161290323,1.53444444444444,125.681873038861,104.561911658219,199.300024137099,160.680666183925,"Male",64700,48000,"Low",51500,37700
"280","Southern Utah University","State","Western",FALSE,"UT","Public","Selective public",18315,34100,30200,16100,45300,25200,35000,45500,39800,19700,58500,41700,2.14838709677419,2.42582781456954,1.61010989010989,1.84070351758794,86.1861861861862,64.8921648921649,148.430248430248,117.308217308217,"Male",59700,43500,"Low",46200,34200
"281","Middlebury College","Liberal Arts","Northeastern",FALSE,"VT","Private nonprofit","Other elite schools (public and private)",59470,47900,41900,23700,61000,37300,52900,71900,58200,36500,86800,64200,4.96617954070981,5.67732696897375,3.30848400556328,4.0872852233677,-19.4551874894905,-29.5443080544812,20.9012947704725,-2.13553051958971,"Male",91800,51900,"Low",71400,51200
"282","University of Vermont","State","Northeastern",FALSE,"VT","Public","Selective public",28348,40400,37100,23900,52300,27800,43000,55200,47300,31500,68100,44100,2.80673267326733,3.05638814016172,2.05420289855072,2.39729386892178,42.5144631014534,30.8734302243545,94.7227317623818,66.8548045717511,"Male",61100,42000,"Low",59600,38300
"284","Virginia Commonwealth University","State","Southern",FALSE,"VA","Public","Selective public",27494,37500,34400,21700,48700,26600,39700,49700,44000,28100,64100,35100,2.93269333333333,3.19697674418605,2.2127967806841,2.49945454545455,36.3933949225286,25.1182076089329,80.7667127373245,60.0349167091002,"Male",54300,39900,"Low",51000,37600
"285","University of Richmond","Liberal Arts","Southern",FALSE,"VA","Private nonprofit","Other elite schools (public and private)",57535,51900,46900,31000,65900,37500,51300,78900,64500,43500,96900,62300,4.43429672447014,4.90703624733476,2.91685678073511,3.56806201550388,-9.79403841140176,-18.4844007995133,37.1339184844008,12.1056748066394,"Male",91300,57600,"Low",89200,47000
"286","George Mason University","State","Southern",FALSE,"VA","Public","Selective public",23212,47000,44900,27700,62700,28100,52600,63900,59900,37800,85000,40900,1.97548936170213,2.06788418708241,1.45302034428795,1.55005008347245,102.481475099087,93.4344304669998,175.288643804928,158.056177839049,"Male",71900,51300,"Low",64600,45800
"287","Virginia Polytechnic Institute and State University","Engineering","Southern",FALSE,"VA","Public","Highly selective public",26165,50400,48000,31100,66600,29900,55100,67100,62500,40800,87000,43700,2.0765873015873,2.18041666666667,1.55976154992548,1.67456,92.6237339957959,83.4511752340914,156.449455379324,138.868717752723,"Male",72900,53600,"Low",64400,49700
"289","Eastern Washington University","State","Western",FALSE,"WA","Public","Selective public",20365,37700,34600,22100,49200,28900,39000,46700,43100,27100,60600,34200,2.16074270557029,2.35433526011561,1.74432548179872,1.89002320185615,85.1215320402652,69.8993370979622,129.315001227596,111.637613552664,"Male",54000,41700,"Low",46100,37700
"290","University of Puget Sound","Liberal Arts","Western",FALSE,"WA","Private nonprofit","Highly selective private",55948,40200,36400,22300,54400,24300,45400,59100,52700,33500,73100,47700,5.56696517412935,6.14813186813187,3.78666666666667,4.2465275142315,-28.1475655966254,-34.9395867591335,5.63380281690141,-5.80539071995424,"Male",66600,44200,"Low",55800,45900
"291","Washington State University","State","Western",FALSE,"WA","Public","Selective public",26543,44700,40600,26500,58400,29500,46200,56600,50600,32900,74800,39300,2.37521252796421,2.61507389162562,1.87583038869258,2.09826086956522,68.4059827449798,52.9593489808989,113.238895377312,90.6340654786573,"Male",65100,48600,"Low",53400,42900
"292","Western Washington University","State","Western",FALSE,"WA","Public","Selective public",22458,37400,35400,22100,47900,24300,39900,50600,45800,29800,64200,35600,2.40192513368984,2.53762711864407,1.77533596837945,1.96139737991266,66.533083978983,57.6275714667379,125.309466559801,103.936236530412,"Male",60000,40700,"Low",47700,36800
"294","University of Wyoming","State","Western",FALSE,"WY","Public","Selective public",18145,44200,38700,24300,55800,36200,42700,54200,47300,29500,68000,41000,1.6420814479638,1.87545219638243,1.33911439114391,1.53446088794926,143.593276384679,113.281895839074,198.704877376688,160.677872692202,"Male",64400,50400,"Low",55300,43500
"295","University of Central Florida","State","Southern",FALSE,"FL","Public","Selective public",19752,39900,37100,24100,50700,29100,41400,51200,45400,30200,65300,36200,1.98015037593985,2.12959568733154,1.543125,1.74026431718062,102.004860267315,87.829080599433,159.214256784123,129.850141757797,"Male",58900,43700,"Low",49800,38800
"296","Florida International University","State","Southern",FALSE,"FL","Public","Selective public",18784,41500,38700,23300,54400,31100,43000,52000,46300,29200,67700,36700,1.81050602409639,1.94149870801034,1.44492307692308,1.62280777537797,120.932708688245,106.026405451448,176.831345826235,146.486371379898,"Male",57300,44800,"Low",51000,39800
"302","Auburn University","State","Southern",FALSE,"AL","Public","Selective public",25282,43100,39500,26200,55200,35100,44900,56300,48800,32700,72700,42400,2.34635730858469,2.56020253164557,1.79623445825933,2.07229508196721,70.4770192231627,56.2376394272605,122.688078474804,93.0227039000079,"Female",48000,38200,"Medium",61000,48800
"303","University of Alabama at Birmingham","State","Southern",FALSE,"AL","Public","Selective public",20621,39400,35100,21000,50800,32000,38300,48400,41200,26300,59900,39200,2.09350253807107,2.34997150997151,1.70421487603306,2.00203883495146,91.0673585180156,70.2148295426992,134.712186605887,99.7963241355899,"Female",43200,36600,"Medium",54400,40200
"304","University of Arkansas","State","Southern",FALSE,"AR","Public","Selective public",20350,40900,37100,23200,52800,30400,41700,52700,44900,28700,67000,44800,1.99022004889976,2.19407008086253,1.54459203036053,1.81291759465479,100.982800982801,82.3095823095823,158.968058968059,120.638820638821,"Female",46800,37000,"Medium",52800,40400
"305","California State University-Fullerton","State","California",FALSE,"CA","Public","Selective public",15627,38500,35100,21600,50400,25200,41000,51800,47200,29000,67800,37600,1.62358441558442,1.7808547008547,1.20671814671815,1.32432203389831,146.368464836501,124.611249760031,231.477570870929,202.041338708645,"Female",47500,36300,"Medium",55000,42800
"306","California State University-East Bay","State","California",FALSE,"CA","Public","Selective public",19793,45200,40600,23300,59300,32200,47700,58200,51700,32200,74300,47900,1.75159292035398,1.95004926108374,1.36034364261168,1.53137330754352,128.363562875764,105.123023291062,194.043348658617,161.20345576719,"Female",54800,44900,"Medium",42000,30000
"307","California State University-Long Beach","State","California",FALSE,"CA","Public","Selective public",17779,40000,36500,21500,52800,26700,42500,53000,48100,29100,70200,36500,1.7779,1.94838356164384,1.34181132075472,1.47850311850312,124.984532313403,105.298385735981,198.10450531526,170.543900106868,"Female",48600,37800,"Medium",54900,42800
"308","California State University-Dominguez Hills","State","California",FALSE,"CA","Public","Selective public",12399,38300,33100,19000,50900,29500,37600,48500,44700,27100,65500,30200,1.29493472584856,1.49836858006042,1.02259793814433,1.10953020134228,208.895878699895,166.957012662311,291.160577465925,260.512944592306,"Female",46700,37500,"Medium",54800,41200
"309","California State University-Chico","State","California",FALSE,"CA","Public","Selective public",21715,42900,38200,22200,56700,29300,42800,55400,48100,29400,72600,42200,2.02470862470862,2.2738219895288,1.56787003610108,1.80582120582121,97.5592908128022,75.9152659451992,155.123186737278,121.505871517384,"Female",49300,39400,"Medium",50800,37800
"310","Humboldt State University","State","California",FALSE,"CA","Public","Selective public",22287,30200,26200,15200,40500,22300,31100,40100,36600,19000,54100,29200,2.95192052980132,3.40259541984733,2.2231421446384,2.43573770491803,35.5050029164984,17.5573204110019,79.9255171176022,64.2212949252928,"Female",36000,29000,"Medium",55300,42100
"311","California State University-Sacramento","State","California",FALSE,"CA","Public","Selective public",18241,41800,38600,23700,54300,26500,44300,54200,48900,31000,69500,38100,1.74555023923445,1.89025906735751,1.34619926199262,1.4921063394683,129.154103393454,111.611205526013,197.13283262979,168.07740803684,"Female",49400,39700,"Medium",64200,47900
"312","San Diego State University","State","California",FALSE,"CA","Public","Selective public",20631,41600,37700,23300,54300,28300,44200,55900,51000,32500,73100,38800,1.98375,2.18896551724138,1.47627906976744,1.61811764705882,101.638311279143,82.7347195967234,170.951480781348,147.200814308565,"Female",51500,39000,"Medium",47800,38100
"315","San Jose State University","State","California",FALSE,"CA","Public","Selective public",21112,47200,42200,25500,61800,36500,49400,63800,56100,34600,83900,47800,1.78915254237288,2.00113744075829,1.32363636363636,1.505311942959,123.569533914362,99.8863205759757,202.197802197802,165.725653656688,"Female",59000,44500,"Medium",65300,41000
"316","California State University-Stanislaus","State","California",FALSE,"CA","Public","Selective public",16190,39300,35000,20200,51200,28100,39300,48500,45400,27500,62500,32700,1.64783715012723,1.85028571428571,1.33525773195876,1.42643171806167,142.742433600988,116.182828906733,199.567634342187,180.420012353305,"Female",46200,37500,"Medium",82700,56100
"317","Pomona College","Liberal Arts","California",FALSE,"CA","Private nonprofit","Other elite schools (public and private)",59730,51200,41100,18900,61200,61100,51300,77300,58100,41300,83000,82300,4.66640625,5.81313868613139,3.09081500646831,4.11222030981067,-14.2809308555165,-31.1903566047212,29.4157040013394,-2.72894692784196,"Female",59700,35500,"Medium",67300,42700
"318","Occidental College","Liberal Arts","California",FALSE,"CA","Private nonprofit","Other elite schools (public and private)",63363,40700,39200,22600,53800,25600,47200,59400,50600,29700,76100,48100,6.22732186732187,6.46561224489796,4.26686868686869,5.00893280632411,-35.7669302274198,-38.1342423812004,-6.25443871028834,-20.1426700124678,"Female",55600,38800,"Medium",66900,43600
"319","University of California-Berkeley","State","California",FALSE,"CA","Public","Highly selective public",33020,57600,48700,27500,75500,50800,56800,79000,64700,41000,99700,72200,2.29305555555556,2.71211498973306,1.67189873417722,2.04142194744977,74.4397334948516,47.4863718958207,139.248940036342,95.9418534221684,"Female",69200,49800,"Medium",52600,35300
"320","University of California-Davis","State","California",FALSE,"CA","Public","Selective public",32638,45300,40400,23600,59400,31400,49200,68100,58200,38800,85800,52000,2.88194260485651,3.23148514851485,1.91706314243759,2.24316151202749,38.7952693179729,23.782094491084,108.652490961456,78.3197499846804,"Female",63400,42100,"Medium",67200,47900
"321","University of California-Irvine","State","California",FALSE,"CA","Public","Highly selective public",29759,44300,41100,24500,58900,28900,48800,65800,58400,35400,84800,50300,2.68704288939052,2.89625304136253,1.80905775075988,2.03828767123288,48.8625289828287,38.1094794851978,121.109580295037,96.2431533317652,"Female",60400,40700,"Medium",60400,42000
"322","University of California-Riverside","State","California",FALSE,"CA","Public","Selective public",30174,36800,33700,19900,49000,25400,42000,55300,49700,31800,70500,41400,3.27978260869565,3.58148367952522,2.1825678119349,2.42849094567404,21.9593027109432,11.6855571021409,83.2703652150858,64.7113408895075,"Female",49700,34500,"Medium",53000,37500
"324","University of California-Santa Barbara","State","California",TRUE,"CA","Public","Highly selective public",33826,42800,39000,22900,56300,29300,46800,62400,55300,34000,79800,50700,3.16130841121495,3.46933333333333,2.16833333333333,2.44672694394213,26.5298882516407,15.2959262106072,84.4734819369716,63.4837107550405,"Female",56300,40400,"Medium",96300,73900
"325","University of California-Santa Cruz","State","California",FALSE,"CA","Public","Selective public",33036,38400,33800,19400,50200,28500,40700,53800,46900,27700,68100,42700,3.44125,3.90958579881657,2.45620817843866,2.81756929637527,16.2368325463131,2.31262864753602,62.8526455987408,41.9663397505751,"Female",49000,35600,"Medium",38100,30100
"326","Colorado College","Liberal Arts","Western",FALSE,"CO","Private nonprofit","Highly selective private",57400,35900,34000,17300,49100,25800,40600,49900,45400,27100,61600,40300,6.39554317548747,6.75294117647059,4.60120240480962,5.05726872246696,-37.4564459930314,-40.7665505226481,-13.0662020905923,-20.9059233449477,"Female",45900,32900,"Medium",64900,46500
"327","Colorado School of Mines","Engineering","Western",FALSE,"CO","Public","Highly selective public",30154,74700,69200,51100,92000,40000,72200,95600,84900,55800,118300,64800,1.61467202141901,1.74300578034682,1.26167364016736,1.42068315665489,147.728327916694,129.488625058035,217.039198779598,181.55468594548,"Female",89600,68900,"Medium",56600,42500
"328","Fort Lewis College","Liberal Arts","Western",FALSE,"CO","Public","Selective public",21691,30500,28100,16600,39000,20800,30500,39400,35200,20700,50800,28900,2.84472131147541,3.08768683274021,2.20213197969543,2.46488636363636,40.6113134479738,29.5468166520677,81.6421557327924,62.2792863399567,"Female",35000,28200,"Medium",126400,65900
"329","University of Connecticut","State","Northeastern",FALSE,"CT","Public","Highly selective public",26966,49800,46400,29400,64500,40400,52700,66000,58400,39900,82500,49200,2.1659437751004,2.32465517241379,1.63430303030303,1.84698630136986,84.6770006675072,72.0685307424164,144.752651487058,116.569012830972,"Female",59300,46800,"Medium",58200,43400
"330","Wesleyan University","Liberal Arts","Northeastern",FALSE,"CT","Private nonprofit","Other elite schools (public and private)",62849,46400,42100,22900,55500,44000,46400,63400,54700,33000,76400,49800,5.41801724137931,5.97140142517815,3.96523659305994,4.59590493601462,-26.1722541329218,-33.0140495473277,0.876704482171554,-12.9659978679056,"Female",57000,39600,"Medium",49200,40000
"331","Yale University","Ivy League","Northeastern",FALSE,"CT","Private nonprofit","Ivy Plus",61620,67800,56600,32400,88200,53400,72400,124400,83200,52200,153300,136200,3.6353982300885,4.3547703180212,1.98135048231511,2.9625,10.0292112950341,-8.14670561506005,101.882505679974,35.0210970464135,"Female",100200,64900,"Medium",52200,39200
"332","University of Delaware","State","Southern",FALSE,"DE","Public","Selective public",23357,48100,46700,31000,63600,25000,52700,64000,57000,39400,80900,42700,1.94237006237006,2.00059957173448,1.4598125,1.63908771929825,105.933981247592,99.9400607954789,174.007792096588,144.038189836023,"Female",59200,46400,"Medium",65200,46800
"333","Florida Atlantic University","State","Southern",FALSE,"FL","Public","Selective public",19310,38800,36200,22500,49400,29300,40500,48300,43200,27500,61500,33800,1.99072164948454,2.13370165745856,1.5991718426501,1.78796296296296,100.932159502848,87.4676333505955,150.129466597618,123.718280683584,"Female",45200,37400,"Medium",49400,38900
"334","Florida State University","State","Southern",TRUE,"FL","Public","Selective public",21408,39700,36500,23600,50100,32300,42300,53900,46400,30900,67400,44500,2.15697732997481,2.34608219178082,1.58871985157699,1.84551724137931,85.4446935724963,70.4970104633782,151.775037369208,116.741405082212,"Female",48700,37200,"Medium",57700,43200
"335","University of Florida","State","Southern",TRUE,"FL","Public","Highly selective public",20085,47700,42600,26800,62000,37000,48100,65700,56000,36600,84100,53000,1.68427672955975,1.88591549295775,1.22283105022831,1.43464285714286,137.490664675131,112.09858103062,227.109783420463,178.815036096589,"Female",60300,43400,"Medium",45600,36000
"336","Georgia State University","State","Southern",FALSE,"GA","Public","Selective public",24377,38100,35200,20900,50700,24900,39400,48200,43300,26000,62700,34000,2.55926509186352,2.77011363636364,2.02298755186722,2.2519168591224,56.2948681133856,44.3984083357263,97.7273659597161,77.6264511629815,"Female",44100,36000,"Medium",43800,36500
"337","University of Georgia","State","Southern",TRUE,"GA","Public","Highly selective public",21981,45200,39900,25800,55600,48000,46000,59100,50500,32800,74200,49900,1.94522123893805,2.20360902255639,1.48771573604061,1.74106930693069,105.632136845457,81.52040398526,168.868568308994,129.743869705655,"Female",52900,40000,"Medium",46200,35400
"338","Boise State University","State","Western",FALSE,"ID","Public","Selective public",18651,35600,31000,18600,45900,33800,34000,43100,37100,22400,55800,36400,2.09561797752809,2.40658064516129,1.73095127610209,2.01088948787062,90.8744839418798,66.2109270280414,131.086804997051,98.916948152914,"Female",35700,31600,"Medium",69300,58000
"339","Idaho State University","State","Western",FALSE,"ID","Public","Selective public",19089,34900,30700,16700,48000,25600,33100,43900,35700,20100,59200,38400,2.18785100286533,2.4871661237785,1.73931662870159,2.13882352941176,82.8278065901828,60.8256063701608,129.97537849023,87.018701870187,"Female",32700,28700,"Medium",50800,40200
"340","University of Idaho","State","Western",FALSE,"ID","Public","Selective public",19381,35500,31800,19900,46000,25700,37400,47000,41900,26600,61300,32200,2.18377464788732,2.43786163522013,1.64944680851064,1.85021479713604,83.1690831226459,64.0782209380321,142.505546669418,116.191115009545,"Female",39100,31200,"Medium",49100,38600
"341","Illinois Institute of Technology","Engineering","Midwestern",FALSE,"IL","Private nonprofit","Highly selective private",51572,60400,55800,39000,74800,37300,63300,78000,69100,44000,91900,64100,3.4153642384106,3.69691756272401,2.64471794871795,2.98535455861071,17.1178158690762,8.19824711083534,51.2448615527806,33.987435042271,"Female",69500,60400,"Medium",43200,35100
"342","Illinois State University","State","Midwestern",FALSE,"IL","Public","Selective public",26259,41600,39600,28800,52400,21400,43200,51600,47100,33600,64700,31600,2.52490384615385,2.65242424242424,2.03558139534884,2.23006369426752,58.4218744049659,50.8054381354964,96.5040557523135,79.3670741460071,"Female",46000,38700,"Medium",56800,38100
"344","Ball State University","State","Midwestern",FALSE,"IN","Public","Selective public",21807,35300,34000,23000,44700,19200,37300,44600,41100,27700,56500,28200,2.47104815864023,2.56552941176471,1.95578475336323,2.12233576642336,61.8746274132159,55.9132388682533,104.521483927179,88.4715916907415,"Female",39500,33500,"Medium",54900,43700
"345","DePauw University","Liberal Arts","Midwestern",FALSE,"IN","Private nonprofit","Selective private",53410,43900,40400,25700,55500,27400,48300,66100,54000,37100,78200,53000,4.86651480637813,5.28811881188119,3.2320726172466,3.9562962962963,-17.8056543718405,-24.3587343194158,23.7595955813518,1.10466204830556,"Female",56300,40700,"Medium",58700,45500
"346","Grinnell College","Liberal Arts","Midwestern",FALSE,"IA","Private nonprofit","Highly selective private",56354,36700,32800,17900,49600,26100,40900,61000,49100,32800,77200,53700,6.14212534059946,6.87243902439024,3.69534426229508,4.59095723014257,-34.8759626645846,-41.7965006920538,8.24431273733896,-12.8722007310927,"Female",55000,33300,"Medium",44300,37800
"347","Iowa State University","State","Midwestern",FALSE,"IA","Public","Selective public",18828,44000,41200,28700,56300,26100,45300,56000,50700,35100,72500,34000,1.71163636363636,1.82796116504854,1.34485714285714,1.48544378698225,133.69449755683,118.823029530487,197.429360526875,169.279796048438,"Female",46600,37900,"Medium",49000,40100
"348","University of Iowa","State","Midwestern",TRUE,"IA","Public","Selective public",20691,47700,42200,29100,58700,38600,47000,62000,51900,35800,73700,53400,1.73509433962264,1.96123222748815,1.33490322580645,1.59468208092486,130.53501522401,103.953409695036,199.647189599343,150.833695809772,"Female",55600,44300,"Medium",57800,45200
"349","Pittsburg State University","State","Midwestern",FALSE,"KS","Public","Selective public",15931,37900,34900,23500,48300,21500,38100,44400,39400,26000,56300,30100,1.68137203166227,1.82590257879656,1.43522522522523,1.61736040609137,137.900947837549,119.069738246187,178.701901952169,147.316552633231,"Female",37400,33400,"Medium",37200,30500
"350","Kansas State University","State","Midwestern",FALSE,"KS","Public","Selective public",20722,41400,38400,25400,53400,27000,42100,51900,45600,31200,66400,37100,2.00212560386473,2.15854166666667,1.59707129094412,1.81771929824561,99.7876652832738,85.3102982337612,150.458449956568,120.055979152591,"Female",43700,36300,"Medium",52600,42000
"351","University of Kansas","State","Midwestern",FALSE,"KS","Public","Selective public",23049,45100,39200,26100,55100,45500,44600,59300,48800,32100,71000,55100,2.04425720620843,2.3519387755102,1.55473861720067,1.88926229508197,95.6700941472515,70.0724543364137,157.277973014014,111.72285131676,"Female",53900,42900,"Medium",44200,37400
"357","Colby College","Liberal Arts","Northeastern",FALSE,"ME","Private nonprofit","Other elite schools (public and private)",59110,50200,42700,31000,63800,33900,56800,71000,58100,37400,85200,77100,4.70996015936255,5.53723653395785,3.33014084507042,4.06953528399312,-15.0735916088648,-27.7618000338352,20.1150397563864,-1.70867873456268,"Female",59600,47500,"Medium",136200,95900
"358","Amherst College","Liberal Arts","Northeastern",FALSE,"MA","Private nonprofit","Other elite schools (public and private)",61544,61600,44100,22000,73500,87900,52600,83300,65000,36200,101500,78400,3.99636363636364,5.58222222222222,2.95529411764706,3.78732307692308,0.0909918107370337,-28.343949044586,35.3503184713376,5.61549460548551,"Female",70900,62000,"Medium",51100,35600
"359","College of the Holy Cross","Liberal Arts","Northeastern",FALSE,"MA","Private nonprofit","Other elite schools (public and private)",57754,55500,49100,35400,68600,34500,56400,88600,71000,51300,104100,73300,4.16245045045045,4.70501018329939,2.60740406320542,3.25374647887324,-3.90275998199259,-14.9842435156007,53.4092876683866,22.9352079509644,"Female",75500,51600,"Medium",50000,38200
"360","Massachusetts Institute of Technology","Engineering","Northeastern",FALSE,"MA","Private nonprofit","Ivy Plus",59020,99600,82200,50800,124100,88000,96200,153600,104700,63000,164900,170800,2.37028112449799,2.87201946472019,1.53697916666667,2.25482330468004,68.7563537783802,39.2748220942054,160.250762453406,77.3974923754659,"Female",118900,85600,"Medium",70500,46200
"361","Wentworth Institute of Technology","Engineering","Northeastern",FALSE,"MA","Private nonprofit","Selective private",46112,54200,53300,37800,68400,26000,57900,67300,65100,43100,86200,42800,3.40309963099631,3.46056285178236,2.74068350668648,2.83330261136713,17.5399028452464,15.588133240805,45.9489937543373,41.1780013879251,"Female",55200,47900,"Medium",66300,55800
"362","Williams College","Liberal Arts","Northeastern",FALSE,"MA","Private nonprofit","Other elite schools (public and private)",61850,51400,42600,19300,65100,44900,49400,89800,59000,35000,99400,112100,4.81322957198444,5.8075117370892,2.75501113585746,4.19322033898305,-16.8957154405821,-31.1236863379143,45.1899757477769,-4.60792239288601,"Female",77100,45400,"Medium",78000,41700
"363","Worcester Polytechnic Institute","Engineering","Northeastern",FALSE,"MA","Private nonprofit","Highly selective private",57637,66300,67500,48300,81300,30500,74200,84600,84900,61300,102200,42700,3.47734539969834,3.41552592592593,2.7251536643026,2.71552414605418,15.0302756909624,17.1122716310703,46.7807137776081,47.3012127626351,"Female",74000,65100,"Medium",85200,66100
"364","Eastern Michigan University","State","Midwestern",FALSE,"MI","Public","Selective public",19532,35300,32000,19500,46700,23600,36700,43900,39300,25000,55800,31400,2.21325779036827,2.4415,1.77968109339408,1.98798982188295,80.7290600040958,63.8337087855826,124.759369240221,101.208273602294,"Female",38200,32900,"Medium",44000,35900
"365","Michigan State University","State","Midwestern",FALSE,"MI","Public","Selective public",24323,45200,41600,27300,58900,34500,47500,63200,53600,34900,78000,54200,2.15247787610619,2.33875,1.53943037974684,1.81514925373134,85.8323397607203,71.03153393907,159.836368868972,120.367553344571,"Female",55400,40500,"Medium",58500,42400
"366","Wayne State University","State","Midwestern",FALSE,"MI","Public","Selective public",21021,37900,32600,18700,50700,29300,37100,52300,40800,23300,62700,53900,2.21857519788918,2.57926380368098,1.60772466539197,2.06088235294118,80.2958945816089,55.0830122258694,148.798820227392,94.0916226630512,"Female",46700,35300,"Medium",48600,38200
"367","Western Michigan University","State","Midwestern",FALSE,"MI","Public","Selective public",22013,35300,32300,19700,46800,22000,38200,50500,45000,29800,65000,34400,2.49439093484419,2.72606811145511,1.74360396039604,1.95671111111111,60.3597873983555,46.7314768545859,129.409894153455,104.424658156544,"Female",42900,31100,"Medium",49100,35300
