School.Name,Gender,MN_EARN_WNE_GENDER_P6
Saint Olaf College,Female,45600
Mississippi State University,Female,42700
University of Mississippi,Female,46000
Montana State University-Billings,Female,40100
University of Nevada-Reno,Female,45200
University of Nevada-Las Vegas,Female,41100
Dartmouth College,Female,86900
Princeton University,Female,83100
Stevens Institute of Technology,Female,68400
New Mexico Institute of Mining and Technology,Female,52000
Colgate University,Female,59200
Cornell University,Female,83200
Hamilton College,Female,66300
Rensselaer Polytechnic Institute,Female,69100
Rochester Institute of Technology,Female,55500
Skidmore College,Female,45400
Siena College,Female,47800
Binghamton University,Female,50300
Stony Brook University,Female,46000
Union College,Female,57300
Vassar College,Female,40900
Appalachian State University,Female,36800
Davidson College,Female,52700
East Carolina University,Female,40700
University of North Carolina at Chapel Hill,Female,57100
University of North Carolina at Charlotte,Female,42900
Western Carolina University,Female,35800
University of North Dakota,Female,48700
Cleveland State University,Female,40600
Denison University,Female,44000
Oberlin College,Female,33700
University of Toledo,Female,41000
Wittenberg University,Female,41800
Lewis and Clark College,Female,35200
Oregon State University,Female,48400
Portland State University,Female,42600
Reed College,Female,40800
University of Oregon,Female,43400
Bucknell University,Female,65800
Carnegie Mellon University,Female,98400
Franklin and Marshall College,Female,52300
Gettysburg College,Female,50600
Juniata College,Female,40400
Lafayette College,Female,61100
Moravian College,Female,44000
Swarthmore College,Female,49300
University of Pennsylvania,Female,109500
Ursinus College,Female,42400
Brown University,Female,76200
University of Rhode Island,Female,44600
Clemson University,Female,52500
Austin Peay State University,Female,34700
University of Memphis,Female,38500
Tennessee Technological University,Female,39800
Lamar University,Female,44300
Tarleton State University,Female,44200
University of Utah,Female,55800
Utah State University,Female,48000
Southern Utah University,Female,43500
Middlebury College,Female,51900
University of Vermont,Female,42000
Randolph-Macon College,Female,39700
Virginia Commonwealth University,Female,39900
University of Richmond,Female,57600
George Mason University,Female,51300
Virginia Polytechnic Institute and State University,Female,53600
Washington and Lee University,Female,65900
Eastern Washington University,Female,41700
University of Puget Sound,Female,44200
Washington State University,Female,48600
Western Washington University,Female,40700
Whitman College,Female,38400
University of Wyoming,Female,50400
University of Central Florida,Female,43700
Florida International University,Female,44800
