School.Name,Gender,MN_EARN_WNE_GENDER_P10
East Carolina University,Male,42000
University of North Carolina at Chapel Hill,Male,64500
University of North Carolina at Charlotte,Male,44000
Western Carolina University,Male,36100
University of North Dakota,Male,47600
Cleveland State University,Male,42000
Denison University,Male,54800
Oberlin College,Male,40700
University of Toledo,Male,46700
Wittenberg University,Male,43500
Lewis and Clark College,Male,50700
Oregon State University,Male,48400
Portland State University,Male,45100
Reed College,Male,44700
University of Oregon,Male,46300
Bucknell University,Male,74300
Carnegie Mellon University,Male,85800
Franklin and Marshall College,Male,61400
Gettysburg College,Male,56800
Juniata College,Male,49800
Lafayette College,Male,70300
Moravian College,Male,49100
Swarthmore College,Male,58300
University of Pennsylvania,Male,102300
Ursinus College,Male,57900
Brown University,Male,79900
University of Rhode Island,Male,53300
Clemson University,Male,51200
Austin Peay State University,Male,35100
University of Memphis,Male,38400
Tennessee Technological University,Male,38300
Lamar University,Male,38400
Tarleton State University,Male,40700
University of Utah,Male,43200
Utah State University,Male,30400
Southern Utah University,Male,28700
Middlebury College,Male,58000
University of Vermont,Male,50800
Randolph-Macon College,Male,50400
Virginia Commonwealth University,Male,46700
University of Richmond,Male,68200
George Mason University,Male,57300
Virginia Polytechnic Institute and State University,Male,58300
Washington and Lee University,Male,76500
Eastern Washington University,Male,41600
University of Puget Sound,Male,54200
Washington State University,Male,49300
Western Washington University,Male,43600
Whitman College,Male,57600
University of Wyoming,Male,44700
University of Central Florida,Male,45900
Florida International University,Male,48400
Auburn University,Female,63800
University of Alabama at Birmingham,Female,57400
University of Arkansas,Female,58900
California Institute of Technology,Female,NA
California State University-Fullerton,Female,58200
California State University-East Bay,Female,64400
California State University-Long Beach,Female,60100
California State University-Dominguez Hills,Female,52200
California State University-Chico,Female,62700
Humboldt State University,Female,44700
California State University-Sacramento,Female,61400
San Diego State University,Female,62800
California State University-Northridge,Female,54200
San Francisco State University,Female,59300
San Jose State University,Female,69200
California State University-Stanislaus,Female,53500
Harvey Mudd College,Female,NA
Pomona College,Female,91700
Occidental College,Female,64700
University of California-Berkeley,Female,90700
University of California-Davis,Female,74300
University of California-Irvine,Female,71700
University of California-Riverside,Female,62300
University of California-San Diego,Female,76200
University of California-Santa Barbara,Female,70600
University of California-Santa Cruz,Female,59400
Colorado College,Female,56000
Colorado School of Mines,Female,97100
Fort Lewis College,Female,43600
University of Connecticut,Female,73700
Wesleyan University,Female,70900
Yale University,Female,148300
University of Delaware,Female,70700
Florida Atlantic University,Female,53700
Florida State University,Female,60900
University of Florida,Female,72400
Georgia State University,Female,54700
University of Georgia,Female,67000
Boise State University,Female,51300
Idaho State University,Female,54700
University of Idaho,Female,53100
Illinois Institute of Technology,Female,81600
Illinois State University,Female,58700
Northern Illinois University,Female,57600
Ball State University,Female,50700
DePauw University,Female,77800
Grinnell College,Female,67200
Iowa State University,Female,63400
University of Iowa,Female,69200
Pittsburg State University,Female,51500
Kansas State University,Female,59300
University of Kansas,Female,65200
Morehead State University,Female,42800
University of Kentucky,Female,59900
University of Louisiana at Lafayette,Female,57800
Bates College,Female,83600
Bowdoin College,Female,93100
Colby College,Female,85000
Amherst College,Female,95000
College of the Holy Cross,Female,104600
Massachusetts Institute of Technology,Female,177100
Mount Holyoke College,Female,NA
Smith College,Female,NA
Wellesley College,Female,NA
Wentworth Institute of Technology,Female,70200
Williams College,Female,102000
Worcester Polytechnic Institute,Female,88400
Eastern Michigan University,Female,51200
Michigan State University,Female,72300
Wayne State University,Female,61000
Western Michigan University,Female,58000
Carleton College,Female,77300
Gustavus Adolphus College,Female,65600
Saint Olaf College,Female,61400
Mississippi State University,Female,56000
University of Mississippi,Female,65800
Montana State University-Billings,Female,48500
University of Nevada-Reno,Female,65800
University of Nevada-Las Vegas,Female,54400
Dartmouth College,Female,130600
Princeton University,Female,140600
Stevens Institute of Technology,Female,93100
New Mexico Institute of Mining and Technology,Female,60700
Colgate University,Female,88200
Cornell University,Female,114900
Hamilton College,Female,80100
Rensselaer Polytechnic Institute,Female,89500
Rochester Institute of Technology,Female,74700
Skidmore College,Female,65000
Siena College,Female,68900
Binghamton University,Female,73700
Stony Brook University,Female,67300
Union College,Female,87000
Vassar College,Female,66800
Appalachian State University,Female,48000
Davidson College,Female,80400
East Carolina University,Female,51500
University of North Carolina at Chapel Hill,Female,75600
University of North Carolina at Charlotte,Female,58200
Western Carolina University,Female,46800
University of North Dakota,Female,66400
Cleveland State University,Female,52000
Denison University,Female,61500
Oberlin College,Female,51400
University of Toledo,Female,58700
Wittenberg University,Female,55600
Lewis and Clark College,Female,62800
Oregon State University,Female,64400
Portland State University,Female,57600
Reed College,Female,69200
University of Oregon,Female,57300
Bucknell University,Female,90300
Carnegie Mellon University,Female,114700
Franklin and Marshall College,Female,75400
Gettysburg College,Female,76600
Juniata College,Female,63900
Lafayette College,Female,88800
Moravian College,Female,64600
Swarthmore College,Female,83500
University of Pennsylvania,Female,167300
Ursinus College,Female,65600
Brown University,Female,99400
University of Rhode Island,Female,65100
Clemson University,Female,64900
Austin Peay State University,Female,45400
University of Memphis,Female,50700
Tennessee Technological University,Female,54500
Lamar University,Female,57600
Tarleton State University,Female,57300
University of Utah,Female,76800
Utah State University,Female,64700
Southern Utah University,Female,59700
Middlebury College,Female,91800
University of Vermont,Female,61100
Randolph-Macon College,Female,59500
Virginia Commonwealth University,Female,54300
University of Richmond,Female,91300
George Mason University,Female,71900
Virginia Polytechnic Institute and State University,Female,72900
Washington and Lee University,Female,106000
Eastern Washington University,Female,54000
University of Puget Sound,Female,66600
Washington State University,Female,65100
Western Washington University,Female,60000
Whitman College,Female,61700
University of Wyoming,Female,64400
University of Central Florida,Female,58900
Florida International University,Female,57300
