School.Name,Gender,MN_EARN_WNE_GENDER_P10
Auburn University,Male,48000
University of Alabama at Birmingham,Male,43200
University of Arkansas,Male,46800
California Institute of Technology,Male,NA
California State University-Fullerton,Male,47500
California State University-East Bay,Male,54800
California State University-Long Beach,Male,48600
California State University-Dominguez Hills,Male,46700
California State University-Chico,Male,49300
Humboldt State University,Male,36000
California State University-Sacramento,Male,49400
San Diego State University,Male,51500
California State University-Northridge,Male,46900
San Francisco State University,Male,51900
San Jose State University,Male,59000
California State University-Stanislaus,Male,46200
Harvey Mudd College,Male,NA
Pomona College,Male,59700
Occidental College,Male,55600
University of California-Berkeley,Male,69200
University of California-Davis,Male,63400
University of California-Irvine,Male,60400
University of California-Riverside,Male,49700
University of California-San Diego,Male,63900
University of California-Santa Barbara,Male,56300
University of California-Santa Cruz,Male,49000
Colorado College,Male,45900
Colorado School of Mines,Male,89600
Fort Lewis College,Male,35000
University of Connecticut,Male,59300
Wesleyan University,Male,57000
Yale University,Male,100200
University of Delaware,Male,59200
Florida Atlantic University,Male,45200
Florida State University,Male,48700
University of Florida,Male,60300
Georgia State University,Male,44100
University of Georgia,Male,52900
Boise State University,Male,35700
Idaho State University,Male,32700
University of Idaho,Male,39100
Illinois Institute of Technology,Male,69500
Illinois State University,Male,46000
Northern Illinois University,Male,42300
Ball State University,Male,39500
DePauw University,Male,56300
Grinnell College,Male,55000
Iowa State University,Male,46600
University of Iowa,Male,55600
Pittsburg State University,Male,37400
Kansas State University,Male,43700
University of Kansas,Male,53900
Morehead State University,Male,32300
University of Kentucky,Male,48500
University of Louisiana at Lafayette,Male,37400
Bates College,Male,63200
Bowdoin College,Male,71500
Colby College,Male,59600
Amherst College,Male,70900
College of the Holy Cross,Male,75500
Massachusetts Institute of Technology,Male,118900
Mount Holyoke College,Male,NA
Smith College,Male,NA
Wellesley College,Male,NA
Wentworth Institute of Technology,Male,55200
Williams College,Male,77100
Worcester Polytechnic Institute,Male,74000
Eastern Michigan University,Male,38200
Michigan State University,Male,55400
Wayne State University,Male,46700
Western Michigan University,Male,42900
Carleton College,Male,57900
Gustavus Adolphus College,Male,53700
Saint Olaf College,Male,54200
Mississippi State University,Male,37700
University of Mississippi,Male,49300
Montana State University-Billings,Male,32500
University of Nevada-Reno,Male,49400
University of Nevada-Las Vegas,Male,46000
Dartmouth College,Male,91100
Princeton University,Male,87300
Stevens Institute of Technology,Male,87100
New Mexico Institute of Mining and Technology,Male,51700
Colgate University,Male,75000
Cornell University,Male,87400
Hamilton College,Male,67700
Rensselaer Polytechnic Institute,Male,74100
Rochester Institute of Technology,Male,50500
Skidmore College,Male,52100
Siena College,Male,57200
Binghamton University,Male,62400
Stony Brook University,Male,58100
Union College,Male,71700
Vassar College,Male,58000
Appalachian State University,Male,39000
Davidson College,Male,61700
