School.Name,Family.Income.Tercile,MN_EARN_WNE_INC_P6
Auburn University,Lowest Income Tercile,41900
University of Alabama at Birmingham,Lowest Income Tercile,38600
University of Arkansas,Lowest Income Tercile,38100
California Institute of Technology,Lowest Income Tercile,NA
California State University-Fullerton,Lowest Income Tercile,37400
California State University-East Bay,Lowest Income Tercile,42000
California State University-Long Beach,Lowest Income Tercile,39400
California State University-Dominguez Hills,Lowest Income Tercile,34100
California State University-Chico,Lowest Income Tercile,40600
Humboldt State University,Lowest Income Tercile,30600
California State University-Sacramento,Lowest Income Tercile,40300
San Diego State University,Lowest Income Tercile,40300
California State University-Northridge,Lowest Income Tercile,36700
San Francisco State University,Lowest Income Tercile,42900
San Jose State University,Lowest Income Tercile,46500
California State University-Stanislaus,Lowest Income Tercile,38500
Harvey Mudd College,Lowest Income Tercile,NA
Pomona College,Lowest Income Tercile,NA
Occidental College,Lowest Income Tercile,39300
University of California-Berkeley,Lowest Income Tercile,57000
University of California-Davis,Lowest Income Tercile,45200
University of California-Irvine,Lowest Income Tercile,43700
University of California-Riverside,Lowest Income Tercile,36000
University of California-San Diego,Lowest Income Tercile,47200
University of California-Santa Barbara,Lowest Income Tercile,41400
University of California-Santa Cruz,Lowest Income Tercile,37900
Colorado College,Lowest Income Tercile,NA
Colorado School of Mines,Lowest Income Tercile,75500
Fort Lewis College,Lowest Income Tercile,29500
University of Connecticut,Lowest Income Tercile,47800
Wesleyan University,Lowest Income Tercile,44000
Yale University,Lowest Income Tercile,67800
University of Delaware,Lowest Income Tercile,40200
Florida Atlantic University,Lowest Income Tercile,37300
Florida State University,Lowest Income Tercile,39100
University of Florida,Lowest Income Tercile,47300
Georgia State University,Lowest Income Tercile,37300
University of Georgia,Lowest Income Tercile,47300
Boise State University,Lowest Income Tercile,33700
Idaho State University,Lowest Income Tercile,32100
University of Idaho,Lowest Income Tercile,34100
Illinois Institute of Technology,Lowest Income Tercile,67100
Illinois State University,Lowest Income Tercile,40700
Northern Illinois University,Lowest Income Tercile,36100
Ball State University,Lowest Income Tercile,32900
DePauw University,Lowest Income Tercile,46400
Grinnell College,Lowest Income Tercile,NA
Iowa State University,Lowest Income Tercile,40700
University of Iowa,Lowest Income Tercile,53800
Pittsburg State University,Lowest Income Tercile,35400
Kansas State University,Lowest Income Tercile,38900
University of Kansas,Lowest Income Tercile,47700
Morehead State University,Lowest Income Tercile,28000
University of Kentucky,Lowest Income Tercile,49200
University of Louisiana at Lafayette,Lowest Income Tercile,34400
Bates College,Lowest Income Tercile,NA
Bowdoin College,Lowest Income Tercile,NA
Colby College,Lowest Income Tercile,NA
Amherst College,Lowest Income Tercile,78900
College of the Holy Cross,Lowest Income Tercile,50500
Massachusetts Institute of Technology,Lowest Income Tercile,83500
Mount Holyoke College,Lowest Income Tercile,36000
Smith College,Lowest Income Tercile,35400
Wellesley College,Lowest Income Tercile,46200
Wentworth Institute of Technology,Lowest Income Tercile,48400
Williams College,Lowest Income Tercile,43600
Worcester Polytechnic Institute,Lowest Income Tercile,68600
Eastern Michigan University,Lowest Income Tercile,33000
Michigan State University,Lowest Income Tercile,43800
Wayne State University,Lowest Income Tercile,36900
Western Michigan University,Lowest Income Tercile,31800
Carleton College,Lowest Income Tercile,NA
Gustavus Adolphus College,Lowest Income Tercile,34700
Saint Olaf College,Lowest Income Tercile,41000
Mississippi State University,Lowest Income Tercile,33600
University of Mississippi,Lowest Income Tercile,40500
Montana State University-Billings,Lowest Income Tercile,28700
University of Nevada-Reno,Lowest Income Tercile,40100
University of Nevada-Las Vegas,Lowest Income Tercile,37800
Dartmouth College,Lowest Income Tercile,70300
Princeton University,Lowest Income Tercile,71900
Stevens Institute of Technology,Lowest Income Tercile,63200
New Mexico Institute of Mining and Technology,Lowest Income Tercile,49900
